"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2023-12-12T20:58:27.200000+00:00","Behavior Group 1","2023-12-12T20:58:25+00:00",0.0,2.2,""
"Locomotion","2023-12-12T20:58:30.500000+00:00","Behavior Group 1","2023-12-12T20:58:27.200000+00:00",2.2,3.3,""
"Passive","2023-12-12T20:58:33.800000+00:00","Behavior Group 1","2023-12-12T20:58:30.500000+00:00",5.5,3.3,""
"Locomotion","2023-12-12T20:58:36.400000+00:00","Behavior Group 1","2023-12-12T20:58:33.800000+00:00",8.8,2.6,""
"Passive","2023-12-12T20:58:52.100000+00:00","Behavior Group 1","2023-12-12T20:58:36.400000+00:00",11.4,15.7,""
"Solicit Grooming","2023-12-12T20:58:53.800000+00:00","Behavior Group 3","2023-12-12T20:58:52.200000+00:00",27.2,1.6,""
"Stop Group 1","2023-12-12T20:58:53.800000+00:00","Behavior Group 1","2023-12-12T20:58:52.100000+00:00",27.1,1.7,""
"Passive","2023-12-12T20:58:54.700000+00:00","Behavior Group 1","2023-12-12T20:58:53.800000+00:00",28.8,0.9,""
"Locomotion","2023-12-12T20:58:59.600000+00:00","Behavior Group 1","2023-12-12T20:58:54.700000+00:00",29.7,4.9,""
"Passive","2023-12-12T20:59:00.400000+00:00","Behavior Group 1","2023-12-12T20:58:59.600000+00:00",34.6,0.8,""
"Locomotion","2023-12-12T20:59:02.300000+00:00","Behavior Group 1","2023-12-12T20:59:00.400000+00:00",35.4,1.9,""
"Passive","2023-12-12T20:59:31.599000+00:00","Behavior Group 1","2023-12-12T20:59:02.300000+00:00",37.3,29.299,""
"Isolation","2023-12-12T20:59:32.856000+00:00","Behavior Group 2","2023-12-12T20:58:25+00:00",0.0,67.856,""
"Approach","2023-12-12T20:59:33.300000+00:00","","2023-12-12T20:59:33.300000+00:00",68.3,0.0,""
"Proximity","2023-12-12T20:59:36.700000+00:00","Behavior Group 2","2023-12-12T20:59:32.856000+00:00",67.856,3.844,""
