"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2023-12-31T18:20:17.200000+00:00","Behavior Group 1","2023-12-31T18:20:16.100000+00:00",0.0,1.1,""
"Locomotion","2023-12-31T18:20:19.800000+00:00","Behavior Group 1","2023-12-31T18:20:17.200000+00:00",1.1,2.6,""
"Passive","2023-12-31T18:20:29.600000+00:00","Behavior Group 1","2023-12-31T18:20:19.800000+00:00",3.7,9.8,""
"Locomotion","2023-12-31T18:20:33.300000+00:00","Behavior Group 1","2023-12-31T18:20:29.600000+00:00",13.5,3.7,""
"Passive","2023-12-31T18:20:35.700000+00:00","Behavior Group 1","2023-12-31T18:20:33.300000+00:00",17.2,2.4,""
"Self-Directed","2023-12-31T18:20:35.900000+00:00","Behavior Group 1","2023-12-31T18:20:35.700000+00:00",19.6,0.2,""
"Passive","2023-12-31T18:20:38.400000+00:00","Behavior Group 1","2023-12-31T18:20:35.900000+00:00",19.8,2.5,""
"Isolation","2023-12-31T18:20:39+00:00","Behavior Group 2","2023-12-31T18:20:16.100000+00:00",0.0,22.9,""
"Approach","2023-12-31T18:20:39+00:00","","2023-12-31T18:20:39+00:00",22.9,0.0,""
"Proximity","2023-12-31T18:20:41+00:00","Behavior Group 2","2023-12-31T18:20:39+00:00",22.9,2.0,""
"Locomotion","2023-12-31T18:20:41.100000+00:00","Behavior Group 1","2023-12-31T18:20:38.400000+00:00",22.3,2.7,""
"Passive","2023-12-31T18:20:42.600000+00:00","Behavior Group 1","2023-12-31T18:20:41.100000+00:00",25.0,1.5,""
"Locomotion","2023-12-31T18:20:43.600000+00:00","Behavior Group 1","2023-12-31T18:20:42.600000+00:00",26.5,1.0,""
"Isolation","2023-12-31T18:20:43.600000+00:00","Behavior Group 2","2023-12-31T18:20:41+00:00",24.9,2.6,""
"Approach","2023-12-31T18:20:43.600000+00:00","","2023-12-31T18:20:43.600000+00:00",27.5,0.0,""
"Passive","2023-12-31T18:20:54.100000+00:00","Behavior Group 1","2023-12-31T18:20:43.600000+00:00",27.5,10.5,""
"Self-Directed","2023-12-31T18:20:56.200000+00:00","Behavior Group 1","2023-12-31T18:20:54.100000+00:00",38.0,2.1,""
"Passive","2023-12-31T18:21:12.300000+00:00","Behavior Group 1","2023-12-31T18:20:56.200000+00:00",40.1,16.1,""
"Locomotion","2023-12-31T18:21:13+00:00","Behavior Group 1","2023-12-31T18:21:12.300000+00:00",56.2,0.7,""
"Manipulation","2023-12-31T18:21:15.900000+00:00","Behavior Group 1","2023-12-31T18:21:13+00:00",56.9,2.9,""
"Proximity","2023-12-31T18:21:18.100000+00:00","Behavior Group 2","2023-12-31T18:20:43.600000+00:00",27.5,34.5,""
"Passive","2023-12-31T18:21:34.800000+00:00","Behavior Group 1","2023-12-31T18:21:15.900000+00:00",59.8,18.9,""
"Isolation","2023-12-31T18:21:38.500000+00:00","Behavior Group 2","2023-12-31T18:21:18.100000+00:00",62.0,20.4,""
"Approach","2023-12-31T18:21:38.500000+00:00","","2023-12-31T18:21:38.500000+00:00",82.4,0.0,""
"Proximity","2023-12-31T18:21:40.500000+00:00","Behavior Group 2","2023-12-31T18:21:38.500000+00:00",82.4,2.0,""
"Locomotion","2023-12-31T18:21:42.199000+00:00","Behavior Group 1","2023-12-31T18:21:34.800000+00:00",78.7,7.399,""
"Passive","2023-12-31T18:21:46.500000+00:00","Behavior Group 1","2023-12-31T18:21:42.199000+00:00",86.099,4.301,""
"Isolation","2023-12-31T18:21:47.500000+00:00","Behavior Group 2","2023-12-31T18:21:40.500000+00:00",84.4,7.0,""
"Approach","2023-12-31T18:21:47.500000+00:00","","2023-12-31T18:21:47.500000+00:00",91.4,0.0,""
"Locomotion","2023-12-31T18:21:50.199000+00:00","Behavior Group 1","2023-12-31T18:21:46.500000+00:00",90.4,3.699,""
"Passive","2023-12-31T18:21:55.500000+00:00","Behavior Group 1","2023-12-31T18:21:50.199000+00:00",94.099,5.301,""
"Self-Directed","2023-12-31T18:21:57+00:00","Behavior Group 1","2023-12-31T18:21:55.500000+00:00",99.4,1.5,""
"Passive","2023-12-31T18:22:09.100000+00:00","Behavior Group 1","2023-12-31T18:21:57+00:00",100.9,12.1,""
"Proximity","2023-12-31T18:22:15.700000+00:00","Behavior Group 2","2023-12-31T18:21:47.500000+00:00",91.4,28.2,""
"Withdraw","2023-12-31T18:22:15.700000+00:00","","2023-12-31T18:22:15.700000+00:00",119.6,0.0,""
"Isolation","2023-12-31T18:22:19.100000+00:00","Behavior Group 2","2023-12-31T18:22:15.700000+00:00",119.6,3.4,""
"Approach","2023-12-31T18:22:19.100000+00:00","","2023-12-31T18:22:19.100000+00:00",123.0,0.0,""
"Locomotion","2023-12-31T18:22:22.700000+00:00","Behavior Group 1","2023-12-31T18:22:09.100000+00:00",113.0,13.6,""
"Passive","2023-12-31T18:22:30.799000+00:00","Behavior Group 1","2023-12-31T18:22:22.700000+00:00",126.6,8.099,""
"Locomotion","2023-12-31T18:22:32.700000+00:00","Behavior Group 1","2023-12-31T18:22:30.799000+00:00",134.699,1.901,""
"Passive","2023-12-31T18:22:33+00:00","Behavior Group 1","2023-12-31T18:22:32.700000+00:00",136.6,0.3,""
"Locomotion","2023-12-31T18:22:35.600000+00:00","Behavior Group 1","2023-12-31T18:22:33+00:00",136.9,2.6,""
"Passive","2023-12-31T18:22:37.299000+00:00","Behavior Group 1","2023-12-31T18:22:35.600000+00:00",139.5,1.699,""
"Proximity","2023-12-31T18:22:38.500000+00:00","Behavior Group 2","2023-12-31T18:22:19.100000+00:00",123.0,19.4,""
"Approach","2023-12-31T18:22:38.500000+00:00","","2023-12-31T18:22:38.500000+00:00",142.4,0.0,""
"Social Contact","2023-12-31T18:22:43.700000+00:00","Behavior Group 2","2023-12-31T18:22:38.500000+00:00",142.4,5.2,""
"Locomotion","2023-12-31T18:22:43.700000+00:00","Behavior Group 1","2023-12-31T18:22:37.299000+00:00",141.199,6.401,""
"Withdraw","2023-12-31T18:22:43.700000+00:00","","2023-12-31T18:22:43.700000+00:00",147.6,0.0,""
"Passive","2023-12-31T18:22:48+00:00","Behavior Group 1","2023-12-31T18:22:43.700000+00:00",147.6,4.3,""
"Locomotion","2023-12-31T18:22:50.700000+00:00","Behavior Group 1","2023-12-31T18:22:48+00:00",151.9,2.7,""
"Passive","2023-12-31T18:22:56.100000+00:00","Behavior Group 1","2023-12-31T18:22:50.700000+00:00",154.6,5.4,""
"Withdraw","2023-12-31T18:22:58+00:00","","2023-12-31T18:22:58+00:00",161.9,0.0,""
"Proximity","2023-12-31T18:22:58+00:00","Behavior Group 2","2023-12-31T18:22:43.700000+00:00",147.6,14.3,""
