"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2024-01-08T20:06:25.600000+00:00","Behavior Group 1","2024-01-08T20:06:13.600000+00:00",0.0,12.0,""
"Locomotion","2024-01-08T20:06:30.100000+00:00","Behavior Group 1","2024-01-08T20:06:25.600000+00:00",12.0,4.5,""
"Passive","2024-01-08T20:06:37.300000+00:00","Behavior Group 1","2024-01-08T20:06:30.100000+00:00",16.5,7.2,""
"Locomotion","2024-01-08T20:06:39.700000+00:00","Behavior Group 1","2024-01-08T20:06:37.300000+00:00",23.7,2.4,""
"Passive","2024-01-08T20:06:52.600000+00:00","Behavior Group 1","2024-01-08T20:06:39.700000+00:00",26.1,12.9,""
"Self-Directed","2024-01-08T20:06:59.800000+00:00","Behavior Group 1","2024-01-08T20:06:52.600000+00:00",39.0,7.2,""
"Isolation","2024-01-08T20:07:02.200000+00:00","Behavior Group 2","2024-01-08T20:06:13.600000+00:00",0.0,48.6,""
"Approach","2024-01-08T20:07:02.200000+00:00","","2024-01-08T20:07:02.200000+00:00",48.6,0.0,""
"Passive","2024-01-08T20:07:07+00:00","Behavior Group 1","2024-01-08T20:06:59.800000+00:00",46.2,7.2,""
"Locomotion","2024-01-08T20:07:10.500000+00:00","Behavior Group 1","2024-01-08T20:07:07+00:00",53.4,3.5,""
"Passive","2024-01-08T20:07:12.100000+00:00","Behavior Group 1","2024-01-08T20:07:10.500000+00:00",56.9,1.6,""
"Proximity","2024-01-08T20:07:16.400000+00:00","Behavior Group 2","2024-01-08T20:07:02.200000+00:00",48.6,14.2,""
"Withdraw","2024-01-08T20:07:16.400000+00:00","","2024-01-08T20:07:16.400000+00:00",62.8,0.0,""
"Locomotion","2024-01-08T20:07:17.100000+00:00","Behavior Group 1","2024-01-08T20:07:12.100000+00:00",58.5,5.0,""
"Passive","2024-01-08T20:07:19.400000+00:00","Behavior Group 1","2024-01-08T20:07:17.100000+00:00",63.5,2.3,""
"Self-Directed","2024-01-08T20:07:19.900000+00:00","Behavior Group 1","2024-01-08T20:07:19.400000+00:00",65.8,0.5,""
"Passive","2024-01-08T20:07:24.600000+00:00","Behavior Group 1","2024-01-08T20:07:19.900000+00:00",66.3,4.7,""
"Self-Directed","2024-01-08T20:07:26.900000+00:00","Behavior Group 1","2024-01-08T20:07:24.600000+00:00",71.0,2.3,""
"Passive","2024-01-08T20:07:28.500000+00:00","Behavior Group 1","2024-01-08T20:07:26.900000+00:00",73.3,1.6,""
"Locomotion","2024-01-08T20:07:29.699000+00:00","Behavior Group 1","2024-01-08T20:07:28.500000+00:00",74.9,1.199,""
"Passive","2024-01-08T20:07:44.500000+00:00","Behavior Group 1","2024-01-08T20:07:29.699000+00:00",76.099,14.801,""
"Self-Directed","2024-01-08T20:07:48.600000+00:00","Behavior Group 1","2024-01-08T20:07:44.500000+00:00",90.9,4.1,""
"Passive","2024-01-08T20:07:55.500000+00:00","Behavior Group 1","2024-01-08T20:07:48.600000+00:00",95.0,6.9,""
"Self-Directed","2024-01-08T20:07:59.100000+00:00","Behavior Group 1","2024-01-08T20:07:55.500000+00:00",101.9,3.6,""
"Locomotion","2024-01-08T20:08:01.900000+00:00","Behavior Group 1","2024-01-08T20:07:59.100000+00:00",105.5,2.8,""
"Passive","2024-01-08T20:08:05.500000+00:00","Behavior Group 1","2024-01-08T20:08:01.900000+00:00",108.3,3.6,""
"Isolation","2024-01-08T20:08:06+00:00","Behavior Group 2","2024-01-08T20:07:16.400000+00:00",62.8,49.6,""
"Approach","2024-01-08T20:08:06+00:00","","2024-01-08T20:08:06+00:00",112.4,0.0,""
"Proximity","2024-01-08T20:08:10+00:00","Behavior Group 2","2024-01-08T20:08:06+00:00",112.4,4.0,""
"Locomotion","2024-01-08T20:08:10+00:00","Behavior Group 1","2024-01-08T20:08:05.500000+00:00",111.9,4.5,""
"Stop Group 1","2024-01-08T20:08:20.800000+00:00","Behavior Group 1","2024-01-08T20:08:10+00:00",116.4,10.8,""
"Withdraw","2024-01-08T20:08:20.800000+00:00","","2024-01-08T20:08:20.800000+00:00",127.2,0.0,""
"Give Groom","2024-01-08T20:08:20.900000+00:00","Behavior Group 3","2024-01-08T20:08:10+00:00",116.4,10.9,""
"Social Contact","2024-01-08T20:08:20.900000+00:00","Behavior Group 2","2024-01-08T20:08:10+00:00",116.4,10.9,""
"Proximity","2024-01-08T20:08:21.500000+00:00","Behavior Group 2","2024-01-08T20:08:20.900000+00:00",127.3,0.6,""
"Locomotion","2024-01-08T20:08:25.900000+00:00","Behavior Group 1","2024-01-08T20:08:20.800000+00:00",127.2,5.1,""
"Passive","2024-01-08T20:08:29+00:00","Behavior Group 1","2024-01-08T20:08:25.900000+00:00",132.3,3.1,""
"Locomotion","2024-01-08T20:08:31.100000+00:00","Behavior Group 1","2024-01-08T20:08:29+00:00",135.4,2.1,""
