"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Proximity","2024-01-18T20:17:54+00:00","Behavior Group 2","2024-01-18T20:17:54+00:00",0.0,0.0,""
"Solicit Grooming","2024-01-18T20:19:13.100000+00:00","Behavior Group 3","2024-01-18T20:19:12.200000+00:00",78.2,0.9,""
"Passive","2024-01-18T20:19:57.600000+00:00","Behavior Group 1","2024-01-18T20:17:54+00:00",0.0,123.6,""
"Stop Groom","2024-01-18T20:19:57.700000+00:00","Behavior Group 3","2024-01-18T20:19:13.100000+00:00",79.1,44.6,""
"Solicit Grooming","2024-01-18T20:20:01.200000+00:00","Behavior Group 3","2024-01-18T20:19:57.700000+00:00",123.7,3.5,""
"Stop Group 1","2024-01-18T20:20:01.200000+00:00","Behavior Group 1","2024-01-18T20:19:57.600000+00:00",123.6,3.6,""
"Passive","2024-01-18T20:20:40.600000+00:00","Behavior Group 1","2024-01-18T20:20:01.200000+00:00",127.2,39.4,""
"Isolation","2024-01-18T20:20:40.900000+00:00","Behavior Group 2","2024-01-18T20:17:54+00:00",0.0,166.9,""
"Approach","2024-01-18T20:20:40.900000+00:00","","2024-01-18T20:20:40.900000+00:00",166.9,0.0,""
"Locomotion","2024-01-18T20:20:42.200000+00:00","Behavior Group 1","2024-01-18T20:20:40.600000+00:00",166.6,1.6,""
"Passive","2024-01-18T20:20:49.500000+00:00","Behavior Group 1","2024-01-18T20:20:42.200000+00:00",168.2,7.3,""
"Proximity","2024-01-18T20:20:49.800000+00:00","Behavior Group 2","2024-01-18T20:20:40.900000+00:00",166.9,8.9,""
"Withdraw","2024-01-18T20:20:49.800000+00:00","","2024-01-18T20:20:49.800000+00:00",175.8,0.0,""
"Locomotion","2024-01-18T20:20:53.300000+00:00","Behavior Group 1","2024-01-18T20:20:49.500000+00:00",175.5,3.8,""
"Passive","2024-01-18T20:20:57.200000+00:00","Behavior Group 1","2024-01-18T20:20:53.300000+00:00",179.3,3.9,""
"Locomotion","2024-01-18T20:21:00.800000+00:00","Behavior Group 1","2024-01-18T20:20:57.200000+00:00",183.2,3.6,""
"Isolation","2024-01-18T20:21:00.900000+00:00","Behavior Group 2","2024-01-18T20:20:49.800000+00:00",175.8,11.1,""
"Approach","2024-01-18T20:21:00.900000+00:00","","2024-01-18T20:21:00.900000+00:00",186.9,0.0,""
"Passive","2024-01-18T20:21:09.600000+00:00","Behavior Group 1","2024-01-18T20:21:00.800000+00:00",186.8,8.8,""
"Proximity","2024-01-18T20:21:11+00:00","Behavior Group 2","2024-01-18T20:21:00.900000+00:00",186.9,10.1,""
"Withdraw","2024-01-18T20:21:11+00:00","","2024-01-18T20:21:11+00:00",197.0,0.0,""
"Locomotion","2024-01-18T20:21:11.400000+00:00","Behavior Group 1","2024-01-18T20:21:09.600000+00:00",195.6,1.8,""
"Passive","2024-01-18T20:21:16.300000+00:00","Behavior Group 1","2024-01-18T20:21:11.400000+00:00",197.4,4.9,""
"Locomotion","2024-01-18T20:21:19.200000+00:00","Behavior Group 1","2024-01-18T20:21:16.300000+00:00",202.3,2.9,""
"Passive","2024-01-18T20:22:31.500000+00:00","Behavior Group 1","2024-01-18T20:21:19.200000+00:00",205.2,72.3,""
"Self-Directed","2024-01-18T20:22:32.900000+00:00","Behavior Group 1","2024-01-18T20:22:31.500000+00:00",277.5,1.4,""
"Passive","2024-01-18T20:22:44.600000+00:00","Behavior Group 1","2024-01-18T20:22:32.900000+00:00",278.9,11.7,""
"Self-Directed","2024-01-18T20:22:54.100000+00:00","Behavior Group 1","2024-01-18T20:22:44.600000+00:00",290.6,9.5,""
"Passive","2024-01-18T20:23:15.800000+00:00","Behavior Group 1","2024-01-18T20:22:54.100000+00:00",300.1,21.7,""
"Locomotion","2024-01-18T20:23:19.600000+00:00","Behavior Group 1","2024-01-18T20:23:15.800000+00:00",321.8,3.8,""
"Passive","2024-01-18T20:23:23+00:00","Behavior Group 1","2024-01-18T20:23:19.600000+00:00",325.6,3.4,""
"Locomotion","2024-01-18T20:23:27.300000+00:00","Behavior Group 1","2024-01-18T20:23:23+00:00",329.0,4.3,""
"Passive","2024-01-18T20:23:38.800000+00:00","Behavior Group 1","2024-01-18T20:23:27.300000+00:00",333.3,11.5,""
"Locomotion","2024-01-18T20:23:40.900000+00:00","Behavior Group 1","2024-01-18T20:23:38.800000+00:00",344.8,2.1,""
"Passive","2024-01-18T20:24:02.400000+00:00","Behavior Group 1","2024-01-18T20:23:40.900000+00:00",346.9,21.5,""
"Locomotion","2024-01-18T20:24:04.200000+00:00","Behavior Group 1","2024-01-18T20:24:02.400000+00:00",368.4,1.8,""
"Passive","2024-01-18T20:24:08.300000+00:00","Behavior Group 1","2024-01-18T20:24:04.200000+00:00",370.2,4.1,""
"Isolation","2024-01-18T20:24:08.300000+00:00","Behavior Group 2","2024-01-18T20:21:11+00:00",197.0,177.3,""
"Approach","2024-01-18T20:24:08.300000+00:00","","2024-01-18T20:24:08.300000+00:00",374.3,0.0,""
"Proximity","2024-01-18T20:24:10.700000+00:00","Behavior Group 2","2024-01-18T20:24:08.300000+00:00",374.3,2.4,""
"Stop Groom","2024-01-18T20:24:10.700000+00:00","Behavior Group 3","2024-01-18T20:20:01.200000+00:00",127.2,249.5,""
"Locomotion","2024-01-18T20:24:10.700000+00:00","Behavior Group 1","2024-01-18T20:24:08.300000+00:00",374.3,2.4,""
"Stop Group 1","2024-01-18T20:24:13.700000+00:00","Behavior Group 1","2024-01-18T20:24:10.700000+00:00",376.7,3.0,""
"Withdraw","2024-01-18T20:24:13.700000+00:00","","2024-01-18T20:24:13.700000+00:00",379.7,0.0,""
"Give Groom","2024-01-18T20:24:13.800000+00:00","Behavior Group 3","2024-01-18T20:24:10.700000+00:00",376.7,3.1,""
"Social Contact","2024-01-18T20:24:13.800000+00:00","Behavior Group 2","2024-01-18T20:24:10.700000+00:00",376.7,3.1,""
"Locomotion","2024-01-18T20:24:24+00:00","Behavior Group 1","2024-01-18T20:24:13.700000+00:00",379.7,10.3,""
"Proximity","2024-01-18T20:24:32.800000+00:00","Behavior Group 2","2024-01-18T20:24:13.800000+00:00",379.8,19.0,""
"Passive","2024-01-18T20:25:41.900000+00:00","Behavior Group 1","2024-01-18T20:24:24+00:00",390.0,77.9,""
"Self-Directed","2024-01-18T20:25:47.100000+00:00","Behavior Group 1","2024-01-18T20:25:41.900000+00:00",467.9,5.2,""
"Passive","2024-01-18T20:26:43.700000+00:00","Behavior Group 1","2024-01-18T20:25:47.100000+00:00",473.1,56.6,""
"Self-Directed","2024-01-18T20:26:58.100000+00:00","Behavior Group 1","2024-01-18T20:26:43.700000+00:00",529.7,14.4,""
"Passive","2024-01-18T20:27:06.800000+00:00","Behavior Group 1","2024-01-18T20:26:58.100000+00:00",544.1,8.7,""
"Locomotion","2024-01-18T20:27:11.300000+00:00","Behavior Group 1","2024-01-18T20:27:06.800000+00:00",552.8,4.5,""
"Passive","2024-01-18T20:27:46.300000+00:00","Behavior Group 1","2024-01-18T20:27:11.300000+00:00",557.3,35.0,""
"Locomotion","2024-01-18T20:27:48.800000+00:00","Behavior Group 1","2024-01-18T20:27:46.300000+00:00",592.3,2.5,""
"Passive","2024-01-18T20:28:06.700000+00:00","Behavior Group 1","2024-01-18T20:27:48.800000+00:00",594.8,17.9,""
"Locomotion","2024-01-18T20:28:09.600000+00:00","Behavior Group 1","2024-01-18T20:28:06.700000+00:00",612.7,2.9,""
"Passive","2024-01-18T20:29:16.500000+00:00","Behavior Group 1","2024-01-18T20:28:09.600000+00:00",615.6,66.9,""
"Self-Directed","2024-01-18T20:29:23.200000+00:00","Behavior Group 1","2024-01-18T20:29:16.500000+00:00",682.5,6.7,""
"Passive","2024-01-18T20:30:26.100000+00:00","Behavior Group 1","2024-01-18T20:29:23.200000+00:00",689.2,62.9,""
"Self-Directed","2024-01-18T20:30:29.200000+00:00","Behavior Group 1","2024-01-18T20:30:26.100000+00:00",752.1,3.1,""
"Passive","2024-01-18T20:30:37.900000+00:00","Behavior Group 1","2024-01-18T20:30:29.200000+00:00",755.2,8.7,""
"Locomotion","2024-01-18T20:30:40.300000+00:00","Behavior Group 1","2024-01-18T20:30:37.900000+00:00",763.9,2.4,""
"Passive","2024-01-18T20:30:40.800000+00:00","Behavior Group 1","2024-01-18T20:30:40.300000+00:00",766.3,0.5,""
"Self-Directed","2024-01-18T20:30:53.700000+00:00","Behavior Group 1","2024-01-18T20:30:40.800000+00:00",766.8,12.9,""
"Passive","2024-01-18T20:31:04.100000+00:00","Behavior Group 1","2024-01-18T20:30:53.700000+00:00",779.7,10.4,""
"Locomotion","2024-01-18T20:31:10.800000+00:00","Behavior Group 1","2024-01-18T20:31:04.100000+00:00",790.1,6.7,""
"Manipulation","2024-01-18T20:31:21.500000+00:00","Behavior Group 1","2024-01-18T20:31:10.800000+00:00",796.8,10.7,""
"Locomotion","2024-01-18T20:31:24.100000+00:00","Behavior Group 1","2024-01-18T20:31:21.500000+00:00",807.5,2.6,""
"Self-Directed","2024-01-18T20:31:26.100000+00:00","Behavior Group 1","2024-01-18T20:31:24.100000+00:00",810.1,2.0,""
"Passive","2024-01-18T20:31:35.500000+00:00","Behavior Group 1","2024-01-18T20:31:26.100000+00:00",812.1,9.4,""
"Locomotion","2024-01-18T20:31:36.700000+00:00","Behavior Group 1","2024-01-18T20:31:35.500000+00:00",821.5,1.2,""
"Manipulation","2024-01-18T20:31:45+00:00","Behavior Group 1","2024-01-18T20:31:36.700000+00:00",822.7,8.3,""
"Locomotion","2024-01-18T20:31:52+00:00","Behavior Group 1","2024-01-18T20:31:45+00:00",831.0,7.0,""
"Passive","2024-01-18T20:35:36.100000+00:00","Behavior Group 1","2024-01-18T20:31:52+00:00",838.0,224.1,""
