"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Locomotion","2024-02-20T21:29:58.600000+00:00","Behavior Group 1","2024-02-20T21:29:55+00:00",0.0,3.6,""
"Passive","2024-02-20T21:30:03.800000+00:00","Behavior Group 1","2024-02-20T21:29:58.600000+00:00",3.6,5.2,""
"Locomotion","2024-02-20T21:30:05.900000+00:00","Behavior Group 1","2024-02-20T21:30:03.800000+00:00",8.8,2.1,""
"Passive","2024-02-20T21:30:10.900000+00:00","Behavior Group 1","2024-02-20T21:30:05.900000+00:00",10.9,5.0,""
"Locomotion","2024-02-20T21:30:14.400000+00:00","Behavior Group 1","2024-02-20T21:30:10.900000+00:00",15.9,3.5,""
"Passive","2024-02-20T21:30:28.400000+00:00","Behavior Group 1","2024-02-20T21:30:14.400000+00:00",19.4,14.0,""
"Locomotion","2024-02-20T21:30:32.100000+00:00","Behavior Group 1","2024-02-20T21:30:28.400000+00:00",33.4,3.7,""
"Passive","2024-02-20T21:30:33.400000+00:00","Behavior Group 1","2024-02-20T21:30:32.100000+00:00",37.1,1.3,""
"Locomotion","2024-02-20T21:30:35.700000+00:00","Behavior Group 1","2024-02-20T21:30:33.400000+00:00",38.4,2.3,""
"Passive","2024-02-20T21:31:30.600000+00:00","Behavior Group 1","2024-02-20T21:30:35.700000+00:00",40.7,54.9,""
"Locomotion","2024-02-20T21:31:32.300000+00:00","Behavior Group 1","2024-02-20T21:31:30.600000+00:00",95.6,1.7,""
"Passive","2024-02-20T21:31:34.500000+00:00","Behavior Group 1","2024-02-20T21:31:32.300000+00:00",97.3,2.2,""
"Manipulation","2024-02-20T21:31:40+00:00","Behavior Group 1","2024-02-20T21:31:34.500000+00:00",99.5,5.5,""
"Locomotion","2024-02-20T21:31:41.700000+00:00","Behavior Group 1","2024-02-20T21:31:40+00:00",105.0,1.7,""
"Passive","2024-02-20T21:32:01.700000+00:00","Behavior Group 1","2024-02-20T21:31:41.700000+00:00",106.7,20.0,""
"Isolation","2024-02-20T21:32:02.100000+00:00","Behavior Group 2","2024-02-20T21:29:55+00:00",0.0,127.1,""
