"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2025-05-14T19:04:25+00:00","Behavior Group 2","2025-05-14T19:04:25+00:00",0.0,0.0,""
"Passive","2025-05-14T19:04:32.500000+00:00","Behavior Group 1","2025-05-14T19:04:25+00:00",0.0,7.5,""
"Self Directed","2025-05-14T19:04:38.700000+00:00","Behavior Group 1","2025-05-14T19:04:32.500000+00:00",7.5,6.2,""
"Proximity","2025-05-14T19:04:40.700000+00:00","Behavior Group 2","2025-05-14T19:04:25+00:00",0.0,15.7,""
"Social Contact","2025-05-14T19:04:42.700000+00:00","Behavior Group 2","2025-05-14T19:04:40.700000+00:00",15.7,2.0,""
"Passive","2025-05-14T19:04:53.600000+00:00","Behavior Group 1","2025-05-14T19:04:38.700000+00:00",13.7,14.9,""
"Self Directed","2025-05-14T19:04:57.100000+00:00","Behavior Group 1","2025-05-14T19:04:53.600000+00:00",28.6,3.5,""
"Proximity","2025-05-14T19:05:12.500000+00:00","Behavior Group 2","2025-05-14T19:04:42.700000+00:00",17.7,29.8,""
"Passive","2025-05-14T19:05:17.300000+00:00","Behavior Group 1","2025-05-14T19:04:57.100000+00:00",32.1,20.2,""
"Social Contact","2025-05-14T19:05:22.600000+00:00","Behavior Group 2","2025-05-14T19:05:12.500000+00:00",47.5,10.1,""
"Withdraw","2025-05-14T19:05:22.600000+00:00","","2025-05-14T19:05:22.600000+00:00",57.6,0.0,""
"Self Directed","2025-05-14T19:05:34.199000+00:00","Behavior Group 1","2025-05-14T19:05:17.300000+00:00",52.3,16.899,""
"Passive","2025-05-14T19:05:53.700000+00:00","Behavior Group 1","2025-05-14T19:05:34.199000+00:00",69.199,19.501,""
"Locomotion","2025-05-14T19:05:55.900000+00:00","Behavior Group 1","2025-05-14T19:05:53.700000+00:00",88.7,2.2,""
"Passive","2025-05-14T19:06:07+00:00","Behavior Group 1","2025-05-14T19:05:55.900000+00:00",90.9,11.1,""
"Proximity","2025-05-14T19:06:10.800000+00:00","Behavior Group 2","2025-05-14T19:05:22.600000+00:00",57.6,48.2,""
"Social Contact","2025-05-14T19:06:15.200000+00:00","Behavior Group 2","2025-05-14T19:06:10.800000+00:00",105.8,4.4,""
"Self Directed","2025-05-14T19:06:32.800000+00:00","Behavior Group 1","2025-05-14T19:06:07+00:00",102.0,25.8,""
"Passive","2025-05-14T19:06:35.900000+00:00","Behavior Group 1","2025-05-14T19:06:32.800000+00:00",127.8,3.1,""
"Self Directed","2025-05-14T19:06:54.100000+00:00","Behavior Group 1","2025-05-14T19:06:35.900000+00:00",130.9,18.2,""
"Passive","2025-05-14T19:07:05.100000+00:00","Behavior Group 1","2025-05-14T19:06:54.100000+00:00",149.1,11.0,""
"Self Directed","2025-05-14T19:07:08.200000+00:00","Behavior Group 1","2025-05-14T19:07:05.100000+00:00",160.1,3.1,""
"Passive","2025-05-14T19:07:20.100000+00:00","Behavior Group 1","2025-05-14T19:07:08.200000+00:00",163.2,11.9,""
"Self Directed","2025-05-14T19:07:24.900000+00:00","Behavior Group 1","2025-05-14T19:07:20.100000+00:00",175.1,4.8,""
"Passive","2025-05-14T19:07:41.600000+00:00","Behavior Group 1","2025-05-14T19:07:24.900000+00:00",179.9,16.7,""
"Proximity","2025-05-14T19:07:57.300000+00:00","Behavior Group 2","2025-05-14T19:06:15.200000+00:00",110.2,102.1,""
"Isolation","2025-05-14T19:07:59.200000+00:00","Behavior Group 2","2025-05-14T19:07:57.300000+00:00",212.3,1.9,""
"Proximity","2025-05-14T19:08:03+00:00","Behavior Group 2","2025-05-14T19:07:59.200000+00:00",214.2,3.8,""
"Self Directed","2025-05-14T19:08:03.200000+00:00","Behavior Group 1","2025-05-14T19:07:41.600000+00:00",196.6,21.6,""
"Social Contact","2025-05-14T19:08:19.100000+00:00","Behavior Group 2","2025-05-14T19:08:03+00:00",218.0,16.1,""
"Passive","2025-05-14T19:08:26.100000+00:00","Behavior Group 1","2025-05-14T19:08:03.200000+00:00",218.2,22.9,""
"Proximity","2025-05-14T19:08:26.400000+00:00","Behavior Group 2","2025-05-14T19:08:19.100000+00:00",234.1,7.3,""
"Self Directed","2025-05-14T19:08:26.800000+00:00","Behavior Group 1","2025-05-14T19:08:26.100000+00:00",241.1,0.7,""
"Social Contact","2025-05-14T19:08:28.200000+00:00","Behavior Group 2","2025-05-14T19:08:26.400000+00:00",241.4,1.8,""
"Proximity","2025-05-14T19:08:30+00:00","Behavior Group 2","2025-05-14T19:08:28.200000+00:00",243.2,1.8,""
"Social Contact","2025-05-14T19:08:34.200000+00:00","Behavior Group 2","2025-05-14T19:08:30+00:00",245.0,4.2,""
"Passive","2025-05-14T19:08:35.600000+00:00","Behavior Group 1","2025-05-14T19:08:26.800000+00:00",241.8,8.8,""
"Self Directed","2025-05-14T19:08:37.800000+00:00","Behavior Group 1","2025-05-14T19:08:35.600000+00:00",250.6,2.2,""
"Passive","2025-05-14T19:08:39.500000+00:00","Behavior Group 1","2025-05-14T19:08:37.800000+00:00",252.8,1.7,""
"Self Directed","2025-05-14T19:08:45+00:00","Behavior Group 1","2025-05-14T19:08:39.500000+00:00",254.5,5.5,""
"Proximity","2025-05-14T19:08:47.600000+00:00","Behavior Group 2","2025-05-14T19:08:34.200000+00:00",249.2,13.4,""
"Passive","2025-05-14T19:08:49+00:00","Behavior Group 1","2025-05-14T19:08:45+00:00",260.0,4.0,""
"Social Contact","2025-05-14T19:08:49.600000+00:00","Behavior Group 2","2025-05-14T19:08:47.600000+00:00",262.6,2.0,""
"Withdraw","2025-05-14T19:08:49.600000+00:00","","2025-05-14T19:08:49.600000+00:00",264.6,0.0,""
"Locomotion","2025-05-14T19:08:51.300000+00:00","Behavior Group 1","2025-05-14T19:08:49+00:00",264.0,2.3,""
"Proximity","2025-05-14T19:08:58.500000+00:00","Behavior Group 2","2025-05-14T19:08:49.600000+00:00",264.6,8.9,""
"Passive","2025-05-14T19:08:59.700000+00:00","Behavior Group 1","2025-05-14T19:08:51.300000+00:00",266.3,8.4,""
"Social Contact","2025-05-14T19:08:59.900000+00:00","Behavior Group 2","2025-05-14T19:08:58.500000+00:00",273.5,1.4,""
"Withdraw","2025-05-14T19:08:59.900000+00:00","","2025-05-14T19:08:59.900000+00:00",274.9,0.0,""
"Locomotion","2025-05-14T19:09:00.900000+00:00","Behavior Group 1","2025-05-14T19:08:59.700000+00:00",274.7,1.2,""
"Proximity","2025-05-14T19:09:00.900000+00:00","Behavior Group 2","2025-05-14T19:08:59.900000+00:00",274.9,1.0,""
"Social Contact","2025-05-14T19:09:04.100000+00:00","Behavior Group 2","2025-05-14T19:09:00.900000+00:00",275.9,3.2,""
"Proximity","2025-05-14T19:09:05.300000+00:00","Behavior Group 2","2025-05-14T19:09:04.100000+00:00",279.1,1.2,""
"Passive","2025-05-14T19:09:06.100000+00:00","Behavior Group 1","2025-05-14T19:09:00.900000+00:00",275.9,5.2,""
"Social Contact","2025-05-14T19:09:07.500000+00:00","Behavior Group 2","2025-05-14T19:09:05.300000+00:00",280.3,2.2,""
"Locomotion","2025-05-14T19:09:08.200000+00:00","Behavior Group 1","2025-05-14T19:09:06.100000+00:00",281.1,2.1,""
"Passive","2025-05-14T19:09:24.500000+00:00","Behavior Group 1","2025-05-14T19:09:08.200000+00:00",283.2,16.3,""
"Proximity","2025-05-14T19:09:24.500000+00:00","Behavior Group 2","2025-05-14T19:09:07.500000+00:00",282.5,17.0,""
"Self Directed","2025-05-14T19:09:28.300000+00:00","Behavior Group 1","2025-05-14T19:09:24.500000+00:00",299.5,3.8,""
"Isolation","2025-05-14T19:09:28.600000+00:00","Behavior Group 2","2025-05-14T19:09:24.500000+00:00",299.5,4.1,""
"Social Contact","2025-05-14T19:09:33+00:00","Behavior Group 2","2025-05-14T19:09:28.600000+00:00",303.6,4.4,""
"Proximity","2025-05-14T19:09:34.400000+00:00","Behavior Group 2","2025-05-14T19:09:33+00:00",308.0,1.4,""
"Social Contact","2025-05-14T19:09:35.300000+00:00","Behavior Group 2","2025-05-14T19:09:34.400000+00:00",309.4,0.9,""
"Passive","2025-05-14T19:09:35.300000+00:00","Behavior Group 1","2025-05-14T19:09:28.300000+00:00",303.3,7.0,""
"Locomotion","2025-05-14T19:09:36.100000+00:00","Behavior Group 1","2025-05-14T19:09:35.300000+00:00",310.3,0.8,""
"Passive","2025-05-14T19:09:37.300000+00:00","Behavior Group 1","2025-05-14T19:09:36.100000+00:00",311.1,1.2,""
"Proximity","2025-05-14T19:09:41.300000+00:00","Behavior Group 2","2025-05-14T19:09:35.300000+00:00",310.3,6.0,""
"Self Directed","2025-05-14T19:09:41.800000+00:00","Behavior Group 1","2025-05-14T19:09:37.300000+00:00",312.3,4.5,""
"Locomotion","2025-05-14T19:09:42.600000+00:00","Behavior Group 1","2025-05-14T19:09:41.800000+00:00",316.8,0.8,""
"Social Contact","2025-05-14T19:09:45.100000+00:00","Behavior Group 2","2025-05-14T19:09:41.300000+00:00",316.3,3.8,""
"Proximity","2025-05-14T19:09:46.300000+00:00","Behavior Group 2","2025-05-14T19:09:45.100000+00:00",320.1,1.2,""
