"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2025-05-27T16:23:48+00:00","Behavior Group 1","2025-05-27T16:23:48+00:00",0.0,0.0,""
"Self-Directed","2025-05-27T16:23:48.400000+00:00","Behavior Group 1","2025-05-27T16:23:48+00:00",0.0,0.4,""
"Passive","2025-05-27T16:23:49+00:00","Behavior Group 1","2025-05-27T16:23:48.400000+00:00",0.4,0.6,""
"Social Contact","2025-05-27T16:23:49.900000+00:00","Behavior Group 2","2025-05-27T16:23:48+00:00",0.0,1.9,""
"Withdraw","2025-05-27T16:23:49.900000+00:00","","2025-05-27T16:23:49.900000+00:00",1.9,0.0,""
"Locomotion","2025-05-27T16:23:55.099000+00:00","Behavior Group 1","2025-05-27T16:23:49+00:00",1.0,6.099,""
"Proximity","2025-05-27T16:23:55.099000+00:00","Behavior Group 2","2025-05-27T16:23:49.900000+00:00",1.9,5.199,""
"Withdraw","2025-05-27T16:23:55.099000+00:00","","2025-05-27T16:23:55.099000+00:00",7.099,0.0,""
"Passive","2025-05-27T16:23:56.200000+00:00","Behavior Group 1","2025-05-27T16:23:55.099000+00:00",7.099,1.101,""
"Self-Directed","2025-05-27T16:24:14.100000+00:00","Behavior Group 1","2025-05-27T16:23:56.200000+00:00",8.2,17.9,""
"Isolation","2025-05-27T16:24:21.300000+00:00","Behavior Group 2","2025-05-27T16:23:55.099000+00:00",7.099,26.201,""
"Passive","2025-05-27T16:24:24.400000+00:00","Behavior Group 1","2025-05-27T16:24:14.100000+00:00",26.1,10.3,""
"Self-Directed","2025-05-27T16:24:32.700000+00:00","Behavior Group 1","2025-05-27T16:24:24.400000+00:00",36.4,8.3,""
"Locomotion","2025-05-27T16:24:37.600000+00:00","Behavior Group 1","2025-05-27T16:24:32.700000+00:00",44.7,4.9,""
"Passive","2025-05-27T16:24:40.500000+00:00","Behavior Group 1","2025-05-27T16:24:37.600000+00:00",49.6,2.9,""
"Locomotion","2025-05-27T16:24:44.600000+00:00","Behavior Group 1","2025-05-27T16:24:40.500000+00:00",52.5,4.1,""
"Passive","2025-05-27T16:24:45.300000+00:00","Behavior Group 1","2025-05-27T16:24:44.600000+00:00",56.6,0.7,""
"Proximity","2025-05-27T16:24:47.600000+00:00","Behavior Group 2","2025-05-27T16:24:21.300000+00:00",33.3,26.3,""
"Self-Directed","2025-05-27T16:24:48.200000+00:00","Behavior Group 1","2025-05-27T16:24:45.300000+00:00",57.3,2.9,""
"Passive","2025-05-27T16:24:50.900000+00:00","Behavior Group 1","2025-05-27T16:24:48.200000+00:00",60.2,2.7,""
"Locomotion","2025-05-27T16:24:55+00:00","Behavior Group 1","2025-05-27T16:24:50.900000+00:00",62.9,4.1,""
"Social Contact","2025-05-27T16:24:55.800000+00:00","Behavior Group 2","2025-05-27T16:24:47.600000+00:00",59.6,8.2,""
"Passive","2025-05-27T16:25:05.200000+00:00","Behavior Group 1","2025-05-27T16:24:55+00:00",67.0,10.2,""
"Locomotion","2025-05-27T16:25:06.900000+00:00","Behavior Group 1","2025-05-27T16:25:05.200000+00:00",77.2,1.7,""
"Passive","2025-05-27T16:25:10.700000+00:00","Behavior Group 1","2025-05-27T16:25:06.900000+00:00",78.9,3.8,""
"Locomotion","2025-05-27T16:25:13.900000+00:00","Behavior Group 1","2025-05-27T16:25:10.700000+00:00",82.7,3.2,""
"Self-Directed","2025-05-27T16:25:33.700000+00:00","Behavior Group 1","2025-05-27T16:25:13.900000+00:00",85.9,19.8,""
"Passive","2025-05-27T16:25:36.900000+00:00","Behavior Group 1","2025-05-27T16:25:33.700000+00:00",105.7,3.2,""
"Self-Directed","2025-05-27T16:25:43.100000+00:00","Behavior Group 1","2025-05-27T16:25:36.900000+00:00",108.9,6.2,""
"Passive","2025-05-27T16:26:01.600000+00:00","Behavior Group 1","2025-05-27T16:25:43.100000+00:00",115.1,18.5,""
"Self-Directed","2025-05-27T16:26:05.200000+00:00","Behavior Group 1","2025-05-27T16:26:01.600000+00:00",133.6,3.6,""
"Passive","2025-05-27T16:26:18.300000+00:00","Behavior Group 1","2025-05-27T16:26:05.200000+00:00",137.2,13.1,""
"Self-Directed","2025-05-27T16:26:38.900000+00:00","Behavior Group 1","2025-05-27T16:26:18.300000+00:00",150.3,20.6,""
"Passive","2025-05-27T16:26:44.500000+00:00","Behavior Group 1","2025-05-27T16:26:38.900000+00:00",170.9,5.6,""
"Self-Directed","2025-05-27T16:26:47+00:00","Behavior Group 1","2025-05-27T16:26:44.500000+00:00",176.5,2.5,""
"Passive","2025-05-27T16:26:49.500000+00:00","Behavior Group 1","2025-05-27T16:26:47+00:00",179.0,2.5,""
"Self-Directed","2025-05-27T16:26:53.400000+00:00","Behavior Group 1","2025-05-27T16:26:49.500000+00:00",181.5,3.9,""
"Locomotion","2025-05-27T16:26:57.500000+00:00","Behavior Group 1","2025-05-27T16:26:53.400000+00:00",185.4,4.1,""
"Passive","2025-05-27T16:27:08.800000+00:00","Behavior Group 1","2025-05-27T16:26:57.500000+00:00",189.5,11.3,""
"Locomotion","2025-05-27T16:27:14.500000+00:00","Behavior Group 1","2025-05-27T16:27:08.800000+00:00",200.8,5.7,""
"Proximity","2025-05-27T16:27:14.600000+00:00","Behavior Group 2","2025-05-27T16:24:55.800000+00:00",67.8,138.8,""
"Withdraw","2025-05-27T16:27:14.600000+00:00","","2025-05-27T16:27:14.600000+00:00",206.6,0.0,""
"Isolation","2025-05-27T16:27:17+00:00","Behavior Group 2","2025-05-27T16:27:14.600000+00:00",206.6,2.4,""
"Social Contact","2025-05-27T16:27:20+00:00","Behavior Group 2","2025-05-27T16:27:17+00:00",209.0,3.0,""
"Proximity","2025-05-27T16:27:20+00:00","Behavior Group 2","2025-05-27T16:27:20+00:00",212.0,0.0,""
"Isolation","2025-05-27T16:27:20+00:00","Behavior Group 2","2025-05-27T16:27:20+00:00",212.0,0.0,""
"Self-Directed","2025-05-27T16:27:20.100000+00:00","Behavior Group 1","2025-05-27T16:27:14.500000+00:00",206.5,5.6,""
"Passive","2025-05-27T16:27:27.200000+00:00","Behavior Group 1","2025-05-27T16:27:20.100000+00:00",212.1,7.1,""
"Locomotion","2025-05-27T16:27:29.800000+00:00","Behavior Group 1","2025-05-27T16:27:27.200000+00:00",219.2,2.6,""
"Passive","2025-05-27T16:27:34.400000+00:00","Behavior Group 1","2025-05-27T16:27:29.800000+00:00",221.8,4.6,""
"Locomotion","2025-05-27T16:27:38.100000+00:00","Behavior Group 1","2025-05-27T16:27:34.400000+00:00",226.4,3.7,""
"Self-Directed","2025-05-27T16:27:49+00:00","Behavior Group 1","2025-05-27T16:27:38.100000+00:00",230.1,10.9,""
"Locomotion","2025-05-27T16:28:04.700000+00:00","Behavior Group 1","2025-05-27T16:27:49+00:00",241.0,15.7,""
"Passive","2025-05-27T16:28:05.800000+00:00","Behavior Group 1","2025-05-27T16:28:04.700000+00:00",256.7,1.1,""
"Self-Directed","2025-05-27T16:28:09.900000+00:00","Behavior Group 1","2025-05-27T16:28:05.800000+00:00",257.8,4.1,""
"Locomotion","2025-05-27T16:28:16.200000+00:00","Behavior Group 1","2025-05-27T16:28:09.900000+00:00",261.9,6.3,""
"Proximity","2025-05-27T16:28:21+00:00","Behavior Group 2","2025-05-27T16:27:20+00:00",212.0,61.0,""
"Social Contact","2025-05-27T16:28:24.100000+00:00","Behavior Group 2","2025-05-27T16:28:21+00:00",273.0,3.1,""
"Withdraw","2025-05-27T16:28:24.100000+00:00","","2025-05-27T16:28:24.100000+00:00",276.1,0.0,""
"Passive","2025-05-27T16:28:49.400000+00:00","Behavior Group 1","2025-05-27T16:28:16.200000+00:00",268.2,33.2,""
