"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Social Contact","2025-05-27T16:10:19.700000+00:00","Behavior Group 2","2025-05-27T16:10:19+00:00",0.0,0.7,""
"Passive","2025-05-27T16:10:19.900000+00:00","Behavior Group 1","2025-05-27T16:10:19+00:00",0.0,0.9,""
"Proximity","2025-05-27T16:10:22.700000+00:00","Behavior Group 2","2025-05-27T16:10:19.700000+00:00",0.7,3.0,""
"Self-Directed","2025-05-27T16:10:22.900000+00:00","Behavior Group 1","2025-05-27T16:10:19.900000+00:00",0.9,3.0,""
"Social Contact","2025-05-27T16:10:23.900000+00:00","Behavior Group 2","2025-05-27T16:10:22.700000+00:00",3.7,1.2,""
"Passive","2025-05-27T16:10:25.099000+00:00","Behavior Group 1","2025-05-27T16:10:22.900000+00:00",3.9,2.199,""
"Proximity","2025-05-27T16:10:29.400000+00:00","Behavior Group 2","2025-05-27T16:10:23.900000+00:00",4.9,5.5,""
"Self-Directed","2025-05-27T16:10:30.700000+00:00","Behavior Group 1","2025-05-27T16:10:25.099000+00:00",6.099,5.601,""
"Locomotion","2025-05-27T16:10:36.300000+00:00","Behavior Group 1","2025-05-27T16:10:30.700000+00:00",11.7,5.6,""
"Social Contact","2025-05-27T16:10:38.100000+00:00","Behavior Group 2","2025-05-27T16:10:29.400000+00:00",10.4,8.7,""
"Passive","2025-05-27T16:10:38.100000+00:00","Behavior Group 1","2025-05-27T16:10:36.300000+00:00",17.3,1.8,""
"Locomotion","2025-05-27T16:10:41.700000+00:00","Behavior Group 1","2025-05-27T16:10:38.100000+00:00",19.1,3.6,""
"Self-Directed","2025-05-27T16:10:48+00:00","Behavior Group 1","2025-05-27T16:10:41.700000+00:00",22.7,6.3,""
"Locomotion","2025-05-27T16:10:57.200000+00:00","Behavior Group 1","2025-05-27T16:10:48+00:00",29.0,9.2,""
"Proximity","2025-05-27T16:10:59.900000+00:00","Behavior Group 2","2025-05-27T16:10:38.100000+00:00",19.1,21.8,""
"Passive","2025-05-27T16:11:10.800000+00:00","Behavior Group 1","2025-05-27T16:10:57.200000+00:00",38.2,13.6,""
"Social Contact","2025-05-27T16:11:11.100000+00:00","Behavior Group 2","2025-05-27T16:10:59.900000+00:00",40.9,11.2,""
"Withdraw","2025-05-27T16:11:11.100000+00:00","","2025-05-27T16:11:11.100000+00:00",52.1,0.0,""
"Locomotion","2025-05-27T16:11:13.200000+00:00","Behavior Group 1","2025-05-27T16:11:10.800000+00:00",51.8,2.4,""
"Self-Directed","2025-05-27T16:11:26.600000+00:00","Behavior Group 1","2025-05-27T16:11:13.200000+00:00",54.2,13.4,""
"Proximity","2025-05-27T16:11:40.400000+00:00","Behavior Group 2","2025-05-27T16:11:11.100000+00:00",52.1,29.3,""
"Locomotion","2025-05-27T16:11:40.400000+00:00","Behavior Group 1","2025-05-27T16:11:26.600000+00:00",67.6,13.8,""
"Passive","2025-05-27T16:11:41+00:00","Behavior Group 1","2025-05-27T16:11:40.400000+00:00",81.4,0.6,""
"Locomotion","2025-05-27T16:11:43.100000+00:00","Behavior Group 1","2025-05-27T16:11:41+00:00",82.0,2.1,""
"Social Contact","2025-05-27T16:11:47.800000+00:00","Behavior Group 2","2025-05-27T16:11:40.400000+00:00",81.4,7.4,""
"Proximity","2025-05-27T16:11:49.100000+00:00","Behavior Group 2","2025-05-27T16:11:47.800000+00:00",88.8,1.3,""
"Self-Directed","2025-05-27T16:11:49.500000+00:00","Behavior Group 1","2025-05-27T16:11:43.100000+00:00",84.1,6.4,""
"Passive","2025-05-27T16:11:51.800000+00:00","Behavior Group 1","2025-05-27T16:11:49.500000+00:00",90.5,2.3,""
"Social Contact","2025-05-27T16:11:52.100000+00:00","Behavior Group 2","2025-05-27T16:11:49.100000+00:00",90.1,3.0,""
"Self-Directed","2025-05-27T16:12:02+00:00","Behavior Group 1","2025-05-27T16:11:51.800000+00:00",92.8,10.2,""
"Locomotion","2025-05-27T16:12:17.600000+00:00","Behavior Group 1","2025-05-27T16:12:02+00:00",103.0,15.6,""
"Passive","2025-05-27T16:12:17.600000+00:00","Behavior Group 1","2025-05-27T16:12:17.600000+00:00",118.6,0.0,""
"Self-Directed","2025-05-27T16:12:31+00:00","Behavior Group 1","2025-05-27T16:12:17.600000+00:00",118.6,13.4,""
"Passive","2025-05-27T16:12:33+00:00","Behavior Group 1","2025-05-27T16:12:31+00:00",132.0,2.0,""
"Locomotion","2025-05-27T16:13:09+00:00","Behavior Group 1","2025-05-27T16:12:33+00:00",134.0,36.0,""
"Self-Directed","2025-05-27T16:13:12.200000+00:00","Behavior Group 1","2025-05-27T16:13:09+00:00",170.0,3.2,""
"Locomotion","2025-05-27T16:13:15.300000+00:00","Behavior Group 1","2025-05-27T16:13:12.200000+00:00",173.2,3.1,""
"Proximity","2025-05-27T16:13:27.400000+00:00","Behavior Group 2","2025-05-27T16:11:52.100000+00:00",93.1,95.3,""
