"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Locomotion","2025-06-20T16:44:03.600000+00:00","Behavior Group 1","2025-06-20T16:43:51+00:00",0.0,12.6,""
"Proximity","2025-06-20T16:44:04.500000+00:00","Behavior Group 2","2025-06-20T16:43:51+00:00",0.0,13.5,""
"Social Contact","2025-06-20T16:44:08.500000+00:00","Behavior Group 2","2025-06-20T16:44:04.500000+00:00",13.5,4.0,""
"Self-Directed","2025-06-20T16:44:10.100000+00:00","Behavior Group 1","2025-06-20T16:44:03.600000+00:00",12.6,6.5,""
"Locomotion","2025-06-20T16:44:12.600000+00:00","Behavior Group 1","2025-06-20T16:44:10.100000+00:00",19.1,2.5,""
"Passive","2025-06-20T16:44:13.700000+00:00","Behavior Group 1","2025-06-20T16:44:12.600000+00:00",21.6,1.1,""
"Locomotion","2025-06-20T16:44:32.500000+00:00","Behavior Group 1","2025-06-20T16:44:13.700000+00:00",22.7,18.8,""
"Passive","2025-06-20T16:44:39.100000+00:00","Behavior Group 1","2025-06-20T16:44:32.500000+00:00",41.5,6.6,""
"Locomotion","2025-06-20T16:44:42.100000+00:00","Behavior Group 1","2025-06-20T16:44:39.100000+00:00",48.1,3.0,""
"Proximity","2025-06-20T16:44:42.100000+00:00","Behavior Group 2","2025-06-20T16:44:08.500000+00:00",17.5,33.6,""
"Social Contact","2025-06-20T16:44:44.300000+00:00","Behavior Group 2","2025-06-20T16:44:42.100000+00:00",51.1,2.2,""
"Passive","2025-06-20T16:44:44.400000+00:00","Behavior Group 1","2025-06-20T16:44:42.100000+00:00",51.1,2.3,""
"Proximity","2025-06-20T16:44:45.500000+00:00","Behavior Group 2","2025-06-20T16:44:44.300000+00:00",53.3,1.2,""
"Approach","2025-06-20T16:44:45.500000+00:00","","2025-06-20T16:44:45.500000+00:00",54.5,0.0,""
"Locomotion","2025-06-20T16:44:45.600000+00:00","Behavior Group 1","2025-06-20T16:44:44.400000+00:00",53.4,1.2,""
"Passive","2025-06-20T16:44:49.200000+00:00","Behavior Group 1","2025-06-20T16:44:45.600000+00:00",54.6,3.6,""
"Social Contact","2025-06-20T16:44:49.200000+00:00","Behavior Group 2","2025-06-20T16:44:45.500000+00:00",54.5,3.7,""
"Locomotion","2025-06-20T16:44:54.300000+00:00","Behavior Group 1","2025-06-20T16:44:49.200000+00:00",58.2,5.1,""
"Passive","2025-06-20T16:45:00+00:00","Behavior Group 1","2025-06-20T16:44:54.300000+00:00",63.3,5.7,""
"Locomotion","2025-06-20T16:45:09.300000+00:00","Behavior Group 1","2025-06-20T16:45:00+00:00",69.0,9.3,""
"Proximity","2025-06-20T16:45:09.300000+00:00","Behavior Group 2","2025-06-20T16:44:49.200000+00:00",58.2,20.1,""
"Withdraw","2025-06-20T16:45:09.300000+00:00","","2025-06-20T16:45:09.300000+00:00",78.3,0.0,""
"Isolation","2025-06-20T16:45:10.300000+00:00","Behavior Group 2","2025-06-20T16:45:09.300000+00:00",78.3,1.0,""
"Proximity","2025-06-20T16:45:17.700000+00:00","Behavior Group 2","2025-06-20T16:45:10.300000+00:00",79.3,7.4,""
"Social Contact","2025-06-20T16:45:20.200000+00:00","Behavior Group 2","2025-06-20T16:45:17.700000+00:00",86.7,2.5,""
"Withdraw","2025-06-20T16:45:20.200000+00:00","","2025-06-20T16:45:20.200000+00:00",89.2,0.0,""
"Self-Directed","2025-06-20T16:45:20.200000+00:00","Behavior Group 1","2025-06-20T16:45:09.300000+00:00",78.3,10.9,""
"Locomotion","2025-06-20T16:45:26.400000+00:00","Behavior Group 1","2025-06-20T16:45:20.200000+00:00",89.2,6.2,""
"Passive","2025-06-20T16:45:28.300000+00:00","Behavior Group 1","2025-06-20T16:45:26.400000+00:00",95.4,1.9,""
"Proximity","2025-06-20T16:45:35.800000+00:00","Behavior Group 2","2025-06-20T16:45:20.200000+00:00",89.2,15.6,""
"Withdraw","2025-06-20T16:45:35.800000+00:00","","2025-06-20T16:45:35.800000+00:00",104.8,0.0,""
"Locomotion","2025-06-20T16:45:35.800000+00:00","Behavior Group 1","2025-06-20T16:45:28.300000+00:00",97.3,7.5,""
"Isolation","2025-06-20T16:45:43.200000+00:00","Behavior Group 2","2025-06-20T16:45:35.800000+00:00",104.8,7.4,""
"Self-Directed","2025-06-20T16:45:44+00:00","Behavior Group 1","2025-06-20T16:45:35.800000+00:00",104.8,8.2,""
"Locomotion","2025-06-20T16:46:00+00:00","Behavior Group 1","2025-06-20T16:45:44+00:00",113.0,16.0,""
"Passive","2025-06-20T16:46:04+00:00","Behavior Group 1","2025-06-20T16:46:00+00:00",129.0,4.0,""
"Locomotion","2025-06-20T16:46:30.100000+00:00","Behavior Group 1","2025-06-20T16:46:04+00:00",133.0,26.1,""
"Proximity","2025-06-20T16:46:33.500000+00:00","Behavior Group 2","2025-06-20T16:45:43.200000+00:00",112.2,50.3,""
"Social Contact","2025-06-20T16:46:35.200000+00:00","Behavior Group 2","2025-06-20T16:46:33.500000+00:00",162.5,1.7,""
"Passive","2025-06-20T16:46:38.700000+00:00","Behavior Group 1","2025-06-20T16:46:30.100000+00:00",159.1,8.6,""
"Locomotion","2025-06-20T16:46:53.700000+00:00","Behavior Group 1","2025-06-20T16:46:38.700000+00:00",167.7,15.0,""
"Passive","2025-06-20T16:46:58.700000+00:00","Behavior Group 1","2025-06-20T16:46:53.700000+00:00",182.7,5.0,""
"Proximity","2025-06-20T16:47:03.100000+00:00","Behavior Group 2","2025-06-20T16:46:35.200000+00:00",164.2,27.9,""
"Self-Directed","2025-06-20T16:47:04.500000+00:00","Behavior Group 1","2025-06-20T16:46:58.700000+00:00",187.7,5.8,""
"Social Contact","2025-06-20T16:47:04.500000+00:00","Behavior Group 2","2025-06-20T16:47:03.100000+00:00",192.1,1.4,""
"Locomotion","2025-06-20T16:47:04.500000+00:00","Behavior Group 1","2025-06-20T16:47:04.500000+00:00",193.5,0.0,""
"Passive","2025-06-20T16:47:07.800000+00:00","Behavior Group 1","2025-06-20T16:47:04.500000+00:00",193.5,3.3,""
"Locomotion","2025-06-20T16:47:36.700000+00:00","Behavior Group 1","2025-06-20T16:47:07.800000+00:00",196.8,28.9,""
"Proximity","2025-06-20T16:47:36.700000+00:00","Behavior Group 2","2025-06-20T16:47:04.500000+00:00",193.5,32.2,""
"Withdraw","2025-06-20T16:47:36.700000+00:00","","2025-06-20T16:47:36.700000+00:00",225.7,0.0,""
