"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Locomotion","2025-07-09T21:24:38.200000+00:00","Behavior Group 1","2025-07-09T21:24:33+00:00",0.0,5.2,""
"Proximity","2025-07-09T21:24:38.900000+00:00","Behavior Group 2","2025-07-09T21:24:33+00:00",0.0,5.9,""
"Social Contact","2025-07-09T21:24:41.200000+00:00","Behavior Group 2","2025-07-09T21:24:38.900000+00:00",5.9,2.3,""
"Proximity","2025-07-09T21:24:44.300000+00:00","Behavior Group 2","2025-07-09T21:24:41.200000+00:00",8.2,3.1,""
"Passive","2025-07-09T21:24:44.300000+00:00","Behavior Group 1","2025-07-09T21:24:38.200000+00:00",5.2,6.1,""
"Stop Group 1","2025-07-09T21:24:46.300000+00:00","Behavior Group 1","2025-07-09T21:24:44.300000+00:00",11.3,2.0,""
"Receive Groom","2025-07-09T21:24:46.300000+00:00","Behavior Group 3","2025-07-09T21:24:44.300000+00:00",11.3,2.0,""
"Social Contact","2025-07-09T21:24:46.300000+00:00","Behavior Group 2","2025-07-09T21:24:44.300000+00:00",11.3,2.0,""
"Proximity","2025-07-09T21:24:47.500000+00:00","Behavior Group 2","2025-07-09T21:24:46.300000+00:00",13.3,1.2,""
"Social Contact","2025-07-09T21:24:49.100000+00:00","Behavior Group 2","2025-07-09T21:24:47.500000+00:00",14.5,1.6,""
"Proximity","2025-07-09T21:24:50.900000+00:00","Behavior Group 2","2025-07-09T21:24:49.100000+00:00",16.1,1.8,""
"Social Contact","2025-07-09T21:24:53.100000+00:00","Behavior Group 2","2025-07-09T21:24:50.900000+00:00",17.9,2.2,""
"Passive","2025-07-09T21:24:54.500000+00:00","Behavior Group 1","2025-07-09T21:24:46.300000+00:00",13.3,8.2,""
"Self-Directed","2025-07-09T21:25:01+00:00","Behavior Group 1","2025-07-09T21:24:54.500000+00:00",21.5,6.5,""
"Passive","2025-07-09T21:25:10.600000+00:00","Behavior Group 1","2025-07-09T21:25:01+00:00",28.0,9.6,""
