"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2025-07-09T21:09:53.300000+00:00","Behavior Group 1","2025-07-09T21:09:49+00:00",0.0,4.3,""
"Self-Directed","2025-07-09T21:09:55+00:00","Behavior Group 1","2025-07-09T21:09:53.300000+00:00",4.3,1.7,""
"Passive","2025-07-09T21:10:01.700000+00:00","Behavior Group 1","2025-07-09T21:09:55+00:00",6.0,6.7,""
"Self-Directed","2025-07-09T21:10:09+00:00","Behavior Group 1","2025-07-09T21:10:01.700000+00:00",12.7,7.3,""
"Passive","2025-07-09T21:10:15.200000+00:00","Behavior Group 1","2025-07-09T21:10:09+00:00",20.0,6.2,""
"Self-Directed","2025-07-09T21:10:23.500000+00:00","Behavior Group 1","2025-07-09T21:10:15.200000+00:00",26.2,8.3,""
"Passive","2025-07-09T21:10:35.600000+00:00","Behavior Group 1","2025-07-09T21:10:23.500000+00:00",34.5,12.1,""
"Self-Directed","2025-07-09T21:10:38.300000+00:00","Behavior Group 1","2025-07-09T21:10:35.600000+00:00",46.6,2.7,""
"Passive","2025-07-09T21:10:40+00:00","Behavior Group 1","2025-07-09T21:10:38.300000+00:00",49.3,1.7,""
"Self-Directed","2025-07-09T21:10:42.200000+00:00","Behavior Group 1","2025-07-09T21:10:40+00:00",51.0,2.2,""
"Passive","2025-07-09T21:11:21.800000+00:00","Behavior Group 1","2025-07-09T21:10:42.200000+00:00",53.2,39.6,""
"Self-Directed","2025-07-09T21:11:24.900000+00:00","Behavior Group 1","2025-07-09T21:11:21.800000+00:00",92.8,3.1,""
"Passive","2025-07-09T21:11:37.300000+00:00","Behavior Group 1","2025-07-09T21:11:24.900000+00:00",95.9,12.4,""
"Self-Directed","2025-07-09T21:11:38.700000+00:00","Behavior Group 1","2025-07-09T21:11:37.300000+00:00",108.3,1.4,""
"Passive","2025-07-09T21:11:48+00:00","Behavior Group 1","2025-07-09T21:11:38.700000+00:00",109.7,9.3,""
"Self-Directed","2025-07-09T21:11:57.100000+00:00","Behavior Group 1","2025-07-09T21:11:48+00:00",119.0,9.1,""
"Passive","2025-07-09T21:12:21+00:00","Behavior Group 1","2025-07-09T21:11:57.100000+00:00",128.1,23.9,""
"Self-Directed","2025-07-09T21:12:22.800000+00:00","Behavior Group 1","2025-07-09T21:12:21+00:00",152.0,1.8,""
"Passive","2025-07-09T21:12:23.700000+00:00","Behavior Group 1","2025-07-09T21:12:22.800000+00:00",153.8,0.9,""
"Self-Directed","2025-07-09T21:12:29.600000+00:00","Behavior Group 1","2025-07-09T21:12:23.700000+00:00",154.7,5.9,""
"Passive","2025-07-09T21:12:39.300000+00:00","Behavior Group 1","2025-07-09T21:12:29.600000+00:00",160.6,9.7,""
"Self-Directed","2025-07-09T21:12:50.900000+00:00","Behavior Group 1","2025-07-09T21:12:39.300000+00:00",170.3,11.6,""
"Passive","2025-07-09T21:13:06.500000+00:00","Behavior Group 1","2025-07-09T21:12:50.900000+00:00",181.9,15.6,""
"Self-Directed","2025-07-09T21:13:08.200000+00:00","Behavior Group 1","2025-07-09T21:13:06.500000+00:00",197.5,1.7,""
"Passive","2025-07-09T21:13:20.200000+00:00","Behavior Group 1","2025-07-09T21:13:08.200000+00:00",199.2,12.0,""
"Self-Directed","2025-07-09T21:13:22.100000+00:00","Behavior Group 1","2025-07-09T21:13:20.200000+00:00",211.2,1.9,""
"Passive","2025-07-09T21:13:29.700000+00:00","Behavior Group 1","2025-07-09T21:13:22.100000+00:00",213.1,7.6,""
"Self-Directed","2025-07-09T21:13:31.400000+00:00","Behavior Group 1","2025-07-09T21:13:29.700000+00:00",220.7,1.7,""
"Passive","2025-07-09T21:14:04.900000+00:00","Behavior Group 1","2025-07-09T21:13:31.400000+00:00",222.4,33.5,""
"Self-Directed","2025-07-09T21:14:12+00:00","Behavior Group 1","2025-07-09T21:14:04.900000+00:00",255.9,7.1,""
"Passive","2025-07-09T21:14:16.500000+00:00","Behavior Group 1","2025-07-09T21:14:12+00:00",263.0,4.5,""
"Self-Directed","2025-07-09T21:14:21.900000+00:00","Behavior Group 1","2025-07-09T21:14:16.500000+00:00",267.5,5.4,""
"Passive","2025-07-09T21:14:30.800000+00:00","Behavior Group 1","2025-07-09T21:14:21.900000+00:00",272.9,8.9,""
"Locomotion","2025-07-09T21:14:33.300000+00:00","Behavior Group 1","2025-07-09T21:14:30.800000+00:00",281.8,2.5,""
"Self-Directed","2025-07-09T21:14:41.900000+00:00","Behavior Group 1","2025-07-09T21:14:33.300000+00:00",284.3,8.6,""
"Passive","2025-07-09T21:14:56.300000+00:00","Behavior Group 1","2025-07-09T21:14:41.900000+00:00",292.9,14.4,""
"Self-Directed","2025-07-09T21:14:58.700000+00:00","Behavior Group 1","2025-07-09T21:14:56.300000+00:00",307.3,2.4,""
"Passive","2025-07-09T21:15:01.400000+00:00","Behavior Group 1","2025-07-09T21:14:58.700000+00:00",309.7,2.7,""
