"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Proximity","2025-07-21T17:51:47+00:00","Behavior Group 2","2025-07-21T17:51:47+00:00",0.0,0.0,""
"Passive","2025-07-21T17:51:47.900000+00:00","Behavior Group 1","2025-07-21T17:51:47+00:00",0.0,0.9,""
"Locomotion","2025-07-21T17:51:49.900000+00:00","Behavior Group 1","2025-07-21T17:51:47.900000+00:00",0.9,2.0,""
"Social Contact","2025-07-21T17:51:49.900000+00:00","Behavior Group 2","2025-07-21T17:51:47+00:00",0.0,2.9,""
"Withdraw","2025-07-21T17:51:49.900000+00:00","","2025-07-21T17:51:49.900000+00:00",2.9,0.0,""
"Passive","2025-07-21T17:52:21.400000+00:00","Behavior Group 1","2025-07-21T17:51:49.900000+00:00",2.9,31.5,""
"Self-Directed","2025-07-21T17:52:26.200000+00:00","Behavior Group 1","2025-07-21T17:52:21.400000+00:00",34.4,4.8,""
"Proximity","2025-07-21T17:54:44.400000+00:00","Behavior Group 2","2025-07-21T17:51:49.900000+00:00",2.9,174.5,""
"Passive","2025-07-21T17:54:45.500000+00:00","Behavior Group 1","2025-07-21T17:52:26.200000+00:00",39.2,139.3,""
"Locomotion","2025-07-21T17:54:46.500000+00:00","Behavior Group 1","2025-07-21T17:54:45.500000+00:00",178.5,1.0,""
"Social Contact","2025-07-21T17:54:56.300000+00:00","Behavior Group 2","2025-07-21T17:54:44.400000+00:00",177.4,11.9,""
"Proximity","2025-07-21T17:55:11.100000+00:00","Behavior Group 2","2025-07-21T17:54:56.300000+00:00",189.3,14.8,""
"Passive","2025-07-21T17:55:11.100000+00:00","Behavior Group 1","2025-07-21T17:54:46.500000+00:00",179.5,24.6,""
"Social Contact","2025-07-21T17:55:12.399000+00:00","Behavior Group 2","2025-07-21T17:55:11.100000+00:00",204.1,1.299,""
"Receive Groom","2025-07-21T17:55:12.399000+00:00","Behavior Group 3","2025-07-21T17:55:11.100000+00:00",204.1,1.299,""
"Withdraw","2025-07-21T17:55:12.399000+00:00","","2025-07-21T17:55:12.399000+00:00",205.399,0.0,""
"Stop Group 1","2025-07-21T17:55:12.399000+00:00","Behavior Group 1","2025-07-21T17:55:11.100000+00:00",204.1,1.299,""
"Proximity","2025-07-21T17:55:25.600000+00:00","Behavior Group 2","2025-07-21T17:55:12.399000+00:00",205.399,13.201,""
