"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2023-10-24T16:21:32.200000+00:00","Behavior Group 1","2023-10-24T16:21:29.600000+00:00",0.0,2.6,""
"Isolation","2023-10-24T16:21:38.200000+00:00","Behavior Group 2","2023-10-24T16:21:29.600000+00:00",0.0,8.6,""
"Self Directed","2023-10-24T16:21:41+00:00","Behavior Group 1","2023-10-24T16:21:32.200000+00:00",2.6,8.8,""
"Withdraw","2023-10-24T16:21:41+00:00","","2023-10-24T16:21:41+00:00",11.4,0.0,""
"Locomotion","2023-10-24T16:21:42.600000+00:00","Behavior Group 1","2023-10-24T16:21:41+00:00",11.4,1.6,""
"Proximity","2023-10-24T16:21:42.600000+00:00","Behavior Group 2","2023-10-24T16:21:38.200000+00:00",8.6,4.4,""
"Passive","2023-10-24T16:21:43.500000+00:00","Behavior Group 1","2023-10-24T16:21:42.600000+00:00",13.0,0.9,""
"Isolation","2023-10-24T16:21:43.900000+00:00","Behavior Group 2","2023-10-24T16:21:42.600000+00:00",13.0,1.3,""
"Self Directed","2023-10-24T16:21:51.100000+00:00","Behavior Group 1","2023-10-24T16:21:43.500000+00:00",13.9,7.6,""
"Passive","2023-10-24T16:21:53.100000+00:00","Behavior Group 1","2023-10-24T16:21:51.100000+00:00",21.5,2.0,""
"Self Directed","2023-10-24T16:22:00.800000+00:00","Behavior Group 1","2023-10-24T16:21:53.100000+00:00",23.5,7.7,""
"Passive","2023-10-24T16:22:02.300000+00:00","Behavior Group 1","2023-10-24T16:22:00.800000+00:00",31.2,1.5,""
"Proximity","2023-10-24T16:22:07.300000+00:00","Behavior Group 2","2023-10-24T16:21:43.900000+00:00",14.3,23.4,""
"Receive Groom","2023-10-24T16:22:10.900000+00:00","Behavior Group 3","2023-10-24T16:22:07.300000+00:00",37.7,3.6,""
"Social Contact","2023-10-24T16:22:11+00:00","Behavior Group 2","2023-10-24T16:22:07.300000+00:00",37.7,3.7,""
"Proximity","2023-10-24T16:22:15.200000+00:00","Behavior Group 2","2023-10-24T16:22:11+00:00",41.4,4.2,""
"Stop Groom","2023-10-24T16:22:15.200000+00:00","Behavior Group 3","2023-10-24T16:22:10.900000+00:00",41.3,4.3,""
"Self Directed","2023-10-24T16:22:15.300000+00:00","Behavior Group 1","2023-10-24T16:22:02.300000+00:00",32.7,13.0,""
"Stop Group 1","2023-10-24T16:22:35.100000+00:00","Behavior Group 1","2023-10-24T16:22:15.300000+00:00",45.7,19.8,""
"Receive Groom","2023-10-24T16:22:38.800000+00:00","Behavior Group 3","2023-10-24T16:22:15.200000+00:00",45.6,23.6,""
"Social Contact","2023-10-24T16:22:39.100000+00:00","Behavior Group 2","2023-10-24T16:22:15.200000+00:00",45.6,23.9,""
"Self Directed","2023-10-24T16:22:44.100000+00:00","Behavior Group 1","2023-10-24T16:22:35.100000+00:00",65.5,9.0,""
"Proximity","2023-10-24T16:22:48.199000+00:00","Behavior Group 2","2023-10-24T16:22:39.100000+00:00",69.5,9.099,""
"Passive","2023-10-24T16:22:49.100000+00:00","Behavior Group 1","2023-10-24T16:22:44.100000+00:00",74.5,5.0,""
"Self Directed","2023-10-24T16:22:56+00:00","Behavior Group 1","2023-10-24T16:22:49.100000+00:00",79.5,6.9,""
"Passive","2023-10-24T16:22:57+00:00","Behavior Group 1","2023-10-24T16:22:56+00:00",86.4,1.0,""
"Self Directed","2023-10-24T16:23:01.699000+00:00","Behavior Group 1","2023-10-24T16:22:57+00:00",87.4,4.699,""
"Passive","2023-10-24T16:23:04+00:00","Behavior Group 1","2023-10-24T16:23:01.699000+00:00",92.099,2.301,""
"Isolation","2023-10-24T16:23:09.800000+00:00","Behavior Group 2","2023-10-24T16:22:48.199000+00:00",78.599,21.601,""
