"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2023-12-04T20:16:43.600000+00:00","Behavior Group 2","2023-12-04T20:16:43.600000+00:00",0.0,0.0,""
"Proximity","2023-12-04T20:16:45.100000+00:00","Behavior Group 2","2023-12-04T20:16:43.600000+00:00",0.0,1.5,""
"Locomotion","2023-12-04T20:16:46.500000+00:00","Behavior Group 1","2023-12-04T20:16:43.600000+00:00",0.0,2.9,""
"Social Contact","2023-12-04T20:16:48.500000+00:00","Behavior Group 2","2023-12-04T20:16:45.100000+00:00",1.5,3.4,""
"Withdraw","2023-12-04T20:16:48.800000+00:00","","2023-12-04T20:16:48.800000+00:00",5.2,0.0,""
"Passive","2023-12-04T20:16:48.900000+00:00","Behavior Group 1","2023-12-04T20:16:46.500000+00:00",2.9,2.4,""
"Locomotion","2023-12-04T20:16:50.900000+00:00","Behavior Group 1","2023-12-04T20:16:48.900000+00:00",5.3,2.0,""
"Manipulation","2023-12-04T20:16:51.400000+00:00","Behavior Group 1","2023-12-04T20:16:50.900000+00:00",7.3,0.5,""
"Passive","2023-12-04T20:16:53.700000+00:00","Behavior Group 1","2023-12-04T20:16:51.400000+00:00",7.8,2.3,""
"Proximity","2023-12-04T20:16:56.400000+00:00","Behavior Group 2","2023-12-04T20:16:48.500000+00:00",4.9,7.9,""
"Self Directed","2023-12-04T20:17:00.400000+00:00","Behavior Group 1","2023-12-04T20:16:53.700000+00:00",10.1,6.7,""
"Receive Groom","2023-12-04T20:17:00.600000+00:00","Behavior Group 3","2023-12-04T20:16:56.400000+00:00",12.8,4.2,""
"Social Contact","2023-12-04T20:17:03.400000+00:00","Behavior Group 2","2023-12-04T20:16:56.400000+00:00",12.8,7.0,""
"Stop Groom","2023-12-04T20:17:04.300000+00:00","Behavior Group 3","2023-12-04T20:17:00.600000+00:00",17.0,3.7,""
"Passive","2023-12-04T20:17:06.200000+00:00","Behavior Group 1","2023-12-04T20:17:00.400000+00:00",16.8,5.8,""
"Proximity","2023-12-04T20:17:06.300000+00:00","Behavior Group 2","2023-12-04T20:17:03.400000+00:00",19.8,2.9,""
"Solicit Grooming","2023-12-04T20:17:06.300000+00:00","Behavior Group 3","2023-12-04T20:17:04.300000+00:00",20.7,2.0,""
"Stop Group 1","2023-12-04T20:17:12.400000+00:00","Behavior Group 1","2023-12-04T20:17:06.200000+00:00",22.6,6.2,""
"Social Contact","2023-12-04T20:17:12.500000+00:00","Behavior Group 2","2023-12-04T20:17:06.300000+00:00",22.7,6.2,""
"Receive Groom","2023-12-04T20:17:12.500000+00:00","Behavior Group 3","2023-12-04T20:17:06.300000+00:00",22.7,6.2,""
"Proximity","2023-12-04T20:17:18.900000+00:00","Behavior Group 2","2023-12-04T20:17:12.500000+00:00",28.9,6.4,""
"Passive","2023-12-04T20:17:23.800000+00:00","Behavior Group 1","2023-12-04T20:17:12.400000+00:00",28.8,11.4,""
"Self Directed","2023-12-04T20:17:25.800000+00:00","Behavior Group 1","2023-12-04T20:17:23.800000+00:00",40.2,2.0,""
"Passive","2023-12-04T20:17:28.400000+00:00","Behavior Group 1","2023-12-04T20:17:25.800000+00:00",42.2,2.6,""
"Social Contact","2023-12-04T20:17:33.800000+00:00","Behavior Group 2","2023-12-04T20:17:18.900000+00:00",35.3,14.9,""
"Isolation","2023-12-04T20:17:33.800000+00:00","Behavior Group 2","2023-12-04T20:17:33.800000+00:00",50.2,0.0,""
"Manipulation","2023-12-04T20:17:35.200000+00:00","Behavior Group 1","2023-12-04T20:17:28.400000+00:00",44.8,6.8,""
"Proximity","2023-12-04T20:17:54+00:00","Behavior Group 2","2023-12-04T20:17:33.800000+00:00",50.2,20.2,""
"Passive","2023-12-04T20:18:02.900000+00:00","Behavior Group 1","2023-12-04T20:17:35.200000+00:00",51.6,27.7,""
"Isolation","2023-12-04T20:18:04.300000+00:00","Behavior Group 2","2023-12-04T20:17:54+00:00",70.4,10.3,""
"Proximity","2023-12-04T20:18:04.300000+00:00","Behavior Group 2","2023-12-04T20:18:04.300000+00:00",80.7,0.0,""
"Social Contact","2023-12-04T20:18:06.500000+00:00","Behavior Group 2","2023-12-04T20:18:04.300000+00:00",80.7,2.2,""
"Manipulation","2023-12-04T20:18:09.800000+00:00","Behavior Group 1","2023-12-04T20:18:02.900000+00:00",79.3,6.9,""
"Passive","2023-12-04T20:18:35.300000+00:00","Behavior Group 1","2023-12-04T20:18:09.800000+00:00",86.2,25.5,""
"Self Directed","2023-12-04T20:18:44.800000+00:00","Behavior Group 1","2023-12-04T20:18:35.300000+00:00",111.7,9.5,""
"Passive","2023-12-04T20:18:49.400000+00:00","Behavior Group 1","2023-12-04T20:18:44.800000+00:00",121.2,4.6,""
"Approach","2023-12-04T20:18:51.200000+00:00","","2023-12-04T20:18:51.200000+00:00",127.6,0.0,""
"Locomotion","2023-12-04T20:18:52+00:00","Behavior Group 1","2023-12-04T20:18:49.400000+00:00",125.8,2.6,""
"Isolation","2023-12-04T20:18:53+00:00","Behavior Group 2","2023-12-04T20:18:06.500000+00:00",82.9,46.5,""
"Manipulation","2023-12-04T20:18:59.799000+00:00","Behavior Group 1","2023-12-04T20:18:52+00:00",128.4,7.799,""
"Passive","2023-12-04T20:19:01.600000+00:00","Behavior Group 1","2023-12-04T20:18:59.799000+00:00",136.199,1.801,""
"Self Directed","2023-12-04T20:19:11.500000+00:00","Behavior Group 1","2023-12-04T20:19:01.600000+00:00",138.0,9.9,""
"Proximity","2023-12-04T20:19:16.400000+00:00","Behavior Group 2","2023-12-04T20:18:53+00:00",129.4,23.4,""
"Social Contact","2023-12-04T20:19:18.799000+00:00","Behavior Group 2","2023-12-04T20:19:16.400000+00:00",152.8,2.399,""
"Passive","2023-12-04T20:19:19.400000+00:00","Behavior Group 1","2023-12-04T20:19:11.500000+00:00",147.9,7.9,""
"Manipulation","2023-12-04T20:19:38.500000+00:00","Behavior Group 1","2023-12-04T20:19:19.400000+00:00",155.8,19.1,""
"Passive","2023-12-04T20:19:41.200000+00:00","Behavior Group 1","2023-12-04T20:19:38.500000+00:00",174.9,2.7,""
"Locomotion","2023-12-04T20:19:53.100000+00:00","Behavior Group 1","2023-12-04T20:19:41.200000+00:00",177.6,11.9,""
"Passive","2023-12-04T20:20:01.500000+00:00","Behavior Group 1","2023-12-04T20:19:53.100000+00:00",189.5,8.4,""
"Self Directed","2023-12-04T20:20:06.200000+00:00","Behavior Group 1","2023-12-04T20:20:01.500000+00:00",197.9,4.7,""
"Passive","2023-12-04T20:20:17.700000+00:00","Behavior Group 1","2023-12-04T20:20:06.200000+00:00",202.6,11.5,""
"Proximity","2023-12-04T20:20:18.100000+00:00","Behavior Group 2","2023-12-04T20:19:18.799000+00:00",155.199,59.301,""
"Isolation","2023-12-04T20:20:25+00:00","Behavior Group 2","2023-12-04T20:20:18.100000+00:00",214.5,6.9,""
"Self Directed","2023-12-04T20:20:25.100000+00:00","Behavior Group 1","2023-12-04T20:20:17.700000+00:00",214.1,7.4,""
"Proximity","2023-12-04T20:20:28.500000+00:00","Behavior Group 2","2023-12-04T20:20:25+00:00",221.4,3.5,""
"Approach","2023-12-04T20:20:28.500000+00:00","","2023-12-04T20:20:28.500000+00:00",224.9,0.0,""
"Social Contact","2023-12-04T20:20:30.200000+00:00","Behavior Group 2","2023-12-04T20:20:28.500000+00:00",224.9,1.7,""
"Withdraw","2023-12-04T20:20:30.200000+00:00","","2023-12-04T20:20:30.200000+00:00",226.6,0.0,""
"Passive","2023-12-04T20:20:30.600000+00:00","Behavior Group 1","2023-12-04T20:20:25.100000+00:00",221.5,5.5,""
"Proximity","2023-12-04T20:20:44.600000+00:00","Behavior Group 2","2023-12-04T20:20:30.200000+00:00",226.6,14.4,""
"Stop Groom","2023-12-04T20:20:44.600000+00:00","Behavior Group 3","2023-12-04T20:17:12.500000+00:00",28.9,212.1,""
"Manipulation","2023-12-04T20:20:44.600000+00:00","Behavior Group 1","2023-12-04T20:20:30.600000+00:00",227.0,14.0,""
"Stop Group 1","2023-12-04T20:20:48.600000+00:00","Behavior Group 1","2023-12-04T20:20:44.600000+00:00",241.0,4.0,""
"Social Contact","2023-12-04T20:20:49.300000+00:00","Behavior Group 2","2023-12-04T20:20:44.600000+00:00",241.0,4.7,""
"Receive Groom","2023-12-04T20:20:49.300000+00:00","Behavior Group 3","2023-12-04T20:20:44.600000+00:00",241.0,4.7,""
"Manipulation","2023-12-04T20:20:57+00:00","Behavior Group 1","2023-12-04T20:20:48.600000+00:00",245.0,8.4,""
"Passive","2023-12-04T20:21:06.200000+00:00","Behavior Group 1","2023-12-04T20:20:57+00:00",253.4,9.2,""
"Proximity","2023-12-04T20:21:06.700000+00:00","Behavior Group 2","2023-12-04T20:20:49.300000+00:00",245.7,17.4,""
"Approach","2023-12-04T20:21:06.700000+00:00","","2023-12-04T20:21:06.700000+00:00",263.1,0.0,""
"Stop Groom","2023-12-04T20:21:08+00:00","Behavior Group 3","2023-12-04T20:20:49.300000+00:00",245.7,18.7,""
"No Response","2023-12-04T20:21:10.515000+00:00","","2023-12-04T20:21:10.515000+00:00",266.915,0.0,""
"Receive Groom","2023-12-04T20:21:17.500000+00:00","Behavior Group 3","2023-12-04T20:21:08+00:00",264.4,9.5,""
"Social Contact","2023-12-04T20:21:17.500000+00:00","Behavior Group 2","2023-12-04T20:21:06.700000+00:00",263.1,10.8,""
"Stop Groom","2023-12-04T20:21:17.500000+00:00","Behavior Group 3","2023-12-04T20:21:17.500000+00:00",273.9,0.0,""
"Solicit Grooming","2023-12-04T20:21:22.100000+00:00","Behavior Group 3","2023-12-04T20:21:17.500000+00:00",273.9,4.6,""
"Stop Group 1","2023-12-04T20:21:22.100000+00:00","Behavior Group 1","2023-12-04T20:21:06.200000+00:00",262.6,15.9,""
"Passive","2023-12-04T20:21:25.900000+00:00","Behavior Group 1","2023-12-04T20:21:22.100000+00:00",278.5,3.8,""
"Locomotion","2023-12-04T20:21:28.800000+00:00","Behavior Group 1","2023-12-04T20:21:25.900000+00:00",282.3,2.9,""
"Passive","2023-12-04T20:21:29.900000+00:00","Behavior Group 1","2023-12-04T20:21:28.800000+00:00",285.2,1.1,""
"Proximity","2023-12-04T20:21:34.700000+00:00","Behavior Group 2","2023-12-04T20:21:17.500000+00:00",273.9,17.2,""
"Manipulation","2023-12-04T20:21:36.200000+00:00","Behavior Group 1","2023-12-04T20:21:29.900000+00:00",286.3,6.3,""
"Passive","2023-12-04T20:21:43.300000+00:00","Behavior Group 1","2023-12-04T20:21:36.200000+00:00",292.6,7.1,""
"Social Contact","2023-12-04T20:21:44.700000+00:00","Behavior Group 2","2023-12-04T20:21:34.700000+00:00",291.1,10.0,""
"Withdraw","2023-12-04T20:21:45.400000+00:00","","2023-12-04T20:21:45.400000+00:00",301.8,0.0,""
"Approach","2023-12-04T20:21:47.500000+00:00","","2023-12-04T20:21:47.500000+00:00",303.9,0.0,""
"Proximity","2023-12-04T20:21:47.500000+00:00","Behavior Group 2","2023-12-04T20:21:44.700000+00:00",301.1,2.8,""
"Stop Groom","2023-12-04T20:21:48.600000+00:00","Behavior Group 3","2023-12-04T20:21:22.100000+00:00",278.5,26.5,""
