"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2023-12-08T20:26:55.300000+00:00","Behavior Group 2","2023-12-08T20:26:55.300000+00:00",0.0,0.0,""
"Proximity","2023-12-08T20:26:55.300000+00:00","Behavior Group 2","2023-12-08T20:26:55.300000+00:00",0.0,0.0,""
"Isolation","2023-12-08T20:27:05.600000+00:00","Behavior Group 2","2023-12-08T20:26:55.300000+00:00",0.0,10.3,""
"Proximity","2023-12-08T20:27:13.300000+00:00","Behavior Group 2","2023-12-08T20:27:05.600000+00:00",10.3,7.7,""
"Isolation","2023-12-08T20:27:17.100000+00:00","Behavior Group 2","2023-12-08T20:27:13.300000+00:00",18.0,3.8,""
"Passive","2023-12-08T20:27:20.500000+00:00","Behavior Group 1","2023-12-08T20:26:55.300000+00:00",0.0,25.2,""
"Approach","2023-12-08T20:27:20.500000+00:00","","2023-12-08T20:27:20.500000+00:00",25.2,0.0,""
"Proximity","2023-12-08T20:27:20.600000+00:00","Behavior Group 2","2023-12-08T20:27:17.100000+00:00",21.8,3.5,""
"Stop Groom","2023-12-08T20:27:20.600000+00:00","Behavior Group 3","2023-12-08T20:27:04.799000+00:00",9.499,15.801,""
"Social Contact","2023-12-08T20:27:26.200000+00:00","Behavior Group 2","2023-12-08T20:27:20.600000+00:00",25.3,5.6,""
"Mounting","2023-12-08T20:27:26.200000+00:00","Behavior Group 3","2023-12-08T20:27:20.600000+00:00",25.3,5.6,""
"Stop Group 1","2023-12-08T20:27:26.200000+00:00","Behavior Group 1","2023-12-08T20:27:20.500000+00:00",25.2,5.7,""
"Withdraw","2023-12-08T20:27:26.200000+00:00","","2023-12-08T20:27:26.200000+00:00",30.9,0.0,""
"Passive","2023-12-08T20:27:26.200000+00:00","Behavior Group 1","2023-12-08T20:27:26.200000+00:00",30.9,0.0,""
"Proximity","2023-12-08T20:27:28.599000+00:00","Behavior Group 2","2023-12-08T20:27:26.200000+00:00",30.9,2.399,""
"Stop Groom","2023-12-08T20:27:28.599000+00:00","Behavior Group 3","2023-12-08T20:27:26.200000+00:00",30.9,2.399,""
"Locomotion","2023-12-08T20:27:28.599000+00:00","Behavior Group 1","2023-12-08T20:27:26.200000+00:00",30.9,2.399,""
"Social Contact","2023-12-08T20:27:30.900000+00:00","Behavior Group 2","2023-12-08T20:27:28.599000+00:00",33.299,2.301,""
"Receive Groom","2023-12-08T20:27:30.900000+00:00","Behavior Group 3","2023-12-08T20:27:28.599000+00:00",33.299,2.301,""
"Stop Group 1","2023-12-08T20:27:30.900000+00:00","Behavior Group 1","2023-12-08T20:27:28.599000+00:00",33.299,2.301,""
"Passive","2023-12-08T20:27:32.700000+00:00","Behavior Group 1","2023-12-08T20:27:30.900000+00:00",35.6,1.8,""
"Proximity","2023-12-08T20:27:34.300000+00:00","Behavior Group 2","2023-12-08T20:27:30.900000+00:00",35.6,3.4,""
"Withdraw","2023-12-08T20:27:34.300000+00:00","","2023-12-08T20:27:34.300000+00:00",39.0,0.0,""
"Stop Groom","2023-12-08T20:27:34.700000+00:00","Behavior Group 3","2023-12-08T20:27:30.900000+00:00",35.6,3.8,""
"Locomotion","2023-12-08T20:27:34.700000+00:00","Behavior Group 1","2023-12-08T20:27:32.700000+00:00",37.4,2.0,""
"Solicit Grooming","2023-12-08T20:27:36.200000+00:00","Behavior Group 3","2023-12-08T20:27:34.700000+00:00",39.4,1.5,""
"Stop Group 1","2023-12-08T20:27:36.200000+00:00","Behavior Group 1","2023-12-08T20:27:34.700000+00:00",39.4,1.5,""
"Isolation","2023-12-08T20:27:38.599000+00:00","Behavior Group 2","2023-12-08T20:27:34.300000+00:00",39.0,4.299,""
"Stop Groom","2023-12-08T20:27:38.599000+00:00","Behavior Group 3","2023-12-08T20:27:36.200000+00:00",40.9,2.399,""
"Passive","2023-12-08T20:27:38.599000+00:00","Behavior Group 1","2023-12-08T20:27:36.200000+00:00",40.9,2.399,""
"Stop Group 1","2023-12-08T20:27:57.300000+00:00","Behavior Group 1","2023-12-08T20:27:38.599000+00:00",43.299,18.701,""
"Receive Groom","2023-12-08T20:27:59+00:00","Behavior Group 3","2023-12-08T20:27:38.599000+00:00",43.299,20.401,""
"Social Contact","2023-12-08T20:27:59+00:00","Behavior Group 2","2023-12-08T20:27:38.599000+00:00",43.299,20.401,""
"Manipulation","2023-12-08T20:28:01.200000+00:00","Behavior Group 1","2023-12-08T20:27:57.300000+00:00",62.0,3.9,""
"Proximity","2023-12-08T20:28:01.300000+00:00","Behavior Group 2","2023-12-08T20:27:59+00:00",63.7,2.3,""
"Stop Groom","2023-12-08T20:28:09.100000+00:00","Behavior Group 3","2023-12-08T20:27:59+00:00",63.7,10.1,""
"Passive","2023-12-08T20:28:09.100000+00:00","Behavior Group 1","2023-12-08T20:28:01.200000+00:00",65.9,7.9,""
"Isolation","2023-12-08T20:28:09.399000+00:00","Behavior Group 2","2023-12-08T20:28:01.300000+00:00",66.0,8.099,""
"Solicit Grooming","2023-12-08T20:28:09.399000+00:00","Behavior Group 3","2023-12-08T20:28:09.100000+00:00",73.8,0.299,""
"Stop Group 1","2023-12-08T20:28:15+00:00","Behavior Group 1","2023-12-08T20:28:09.100000+00:00",73.8,5.9,""
"Manipulation","2023-12-08T20:28:23+00:00","Behavior Group 1","2023-12-08T20:28:15+00:00",79.7,8.0,""
"Stop Group 1","2023-12-08T20:28:43.199000+00:00","Behavior Group 1","2023-12-08T20:28:23+00:00",87.7,20.199,""
"Receive Groom","2023-12-08T20:28:43.300000+00:00","Behavior Group 3","2023-12-08T20:28:09.399000+00:00",74.099,33.901,""
"Social Contact","2023-12-08T20:28:43.300000+00:00","Behavior Group 2","2023-12-08T20:28:09.399000+00:00",74.099,33.901,""
"Passive","2023-12-08T20:28:46.500000+00:00","Behavior Group 1","2023-12-08T20:28:43.199000+00:00",107.899,3.301,""
"Proximity","2023-12-08T20:28:46.600000+00:00","Behavior Group 2","2023-12-08T20:28:43.300000+00:00",108.0,3.3,""
"Stop Groom","2023-12-08T20:28:46.600000+00:00","Behavior Group 3","2023-12-08T20:28:43.300000+00:00",108.0,3.3,""
"Yawn","2023-12-08T20:28:46.600000+00:00","","2023-12-08T20:28:46.600000+00:00",111.3,0.0,""
"Receive Groom","2023-12-08T20:29:00.300000+00:00","Behavior Group 3","2023-12-08T20:28:46.600000+00:00",111.3,13.7,""
"Social Contact","2023-12-08T20:29:00.300000+00:00","Behavior Group 2","2023-12-08T20:28:46.600000+00:00",111.3,13.7,""
"Stop Group 1","2023-12-08T20:29:00.300000+00:00","Behavior Group 1","2023-12-08T20:28:46.500000+00:00",111.2,13.8,""
"Passive","2023-12-08T20:29:07.300000+00:00","Behavior Group 1","2023-12-08T20:29:00.300000+00:00",125.0,7.0,""
"Proximity","2023-12-08T20:29:09.600000+00:00","Behavior Group 2","2023-12-08T20:29:00.300000+00:00",125.0,9.3,""
"Stop Groom","2023-12-08T20:29:09.600000+00:00","Behavior Group 3","2023-12-08T20:29:00.300000+00:00",125.0,9.3,""
"Social Contact","2023-12-08T20:29:13+00:00","Behavior Group 2","2023-12-08T20:29:09.600000+00:00",134.3,3.4,""
"Receive Groom","2023-12-08T20:29:13+00:00","Behavior Group 3","2023-12-08T20:29:09.600000+00:00",134.3,3.4,""
"Self Directed","2023-12-08T20:29:13.500000+00:00","Behavior Group 1","2023-12-08T20:29:07.300000+00:00",132.0,6.2,""
"Proximity","2023-12-08T20:29:17.900000+00:00","Behavior Group 2","2023-12-08T20:29:13+00:00",137.7,4.9,""
"Stop Groom","2023-12-08T20:29:17.900000+00:00","Behavior Group 3","2023-12-08T20:29:13+00:00",137.7,4.9,""
"Passive","2023-12-08T20:29:17.900000+00:00","Behavior Group 1","2023-12-08T20:29:13.500000+00:00",138.2,4.4,""
"Receive Groom","2023-12-08T20:29:29.600000+00:00","Behavior Group 3","2023-12-08T20:29:17.900000+00:00",142.6,11.7,""
"Social Contact","2023-12-08T20:29:29.700000+00:00","Behavior Group 2","2023-12-08T20:29:17.900000+00:00",142.6,11.8,""
"Stop Group 1","2023-12-08T20:29:30.900000+00:00","Behavior Group 1","2023-12-08T20:29:17.900000+00:00",142.6,13.0,""
"Solicit Grooming","2023-12-08T20:29:30.900000+00:00","Behavior Group 3","2023-12-08T20:29:29.600000+00:00",154.3,1.3,""
"Stop Groom","2023-12-08T20:29:33.100000+00:00","Behavior Group 3","2023-12-08T20:29:30.900000+00:00",155.6,2.2,""
"Passive","2023-12-08T20:29:33.100000+00:00","Behavior Group 1","2023-12-08T20:29:30.900000+00:00",155.6,2.2,""
"Proximity","2023-12-08T20:29:35.100000+00:00","Behavior Group 2","2023-12-08T20:29:29.700000+00:00",154.4,5.4,""
"Solicit Grooming","2023-12-08T20:29:35.100000+00:00","Behavior Group 3","2023-12-08T20:29:33.100000+00:00",157.8,2.0,""
"Stop Group 1","2023-12-08T20:30:21.100000+00:00","Behavior Group 1","2023-12-08T20:29:33.100000+00:00",157.8,48.0,""
"Social Contact","2023-12-08T20:30:21.200000+00:00","Behavior Group 2","2023-12-08T20:29:35.100000+00:00",159.8,46.1,""
"Receive Groom","2023-12-08T20:30:21.200000+00:00","Behavior Group 3","2023-12-08T20:29:35.100000+00:00",159.8,46.1,""
"Passive","2023-12-08T20:30:23.400000+00:00","Behavior Group 1","2023-12-08T20:30:21.100000+00:00",205.8,2.3,""
"Proximity","2023-12-08T20:30:30+00:00","Behavior Group 2","2023-12-08T20:30:21.200000+00:00",205.9,8.8,""
"Stop Groom","2023-12-08T20:30:32.200000+00:00","Behavior Group 3","2023-12-08T20:30:21.200000+00:00",205.9,11.0,""
"Self Directed","2023-12-08T20:30:32.200000+00:00","Behavior Group 1","2023-12-08T20:30:23.400000+00:00",208.1,8.8,""
"Solicit Grooming","2023-12-08T20:30:33.400000+00:00","Behavior Group 3","2023-12-08T20:30:32.200000+00:00",216.9,1.2,""
"Receive Groom","2023-12-08T20:30:36+00:00","Behavior Group 3","2023-12-08T20:30:33.400000+00:00",218.1,2.6,""
"Social Contact","2023-12-08T20:30:36+00:00","Behavior Group 2","2023-12-08T20:30:30+00:00",214.7,6.0,""
"Proximity","2023-12-08T20:30:38.600000+00:00","Behavior Group 2","2023-12-08T20:30:36+00:00",220.7,2.6,""
"Solicit Grooming","2023-12-08T20:30:38.600000+00:00","Behavior Group 3","2023-12-08T20:30:36+00:00",220.7,2.6,""
"Social Contact","2023-12-08T20:30:41.200000+00:00","Behavior Group 2","2023-12-08T20:30:38.600000+00:00",223.3,2.6,""
"Receive Groom","2023-12-08T20:30:41.200000+00:00","Behavior Group 3","2023-12-08T20:30:38.600000+00:00",223.3,2.6,""
"Stop Group 1","2023-12-08T20:30:41.200000+00:00","Behavior Group 1","2023-12-08T20:30:32.200000+00:00",216.9,9.0,""
"Proximity","2023-12-08T20:30:42.400000+00:00","Behavior Group 2","2023-12-08T20:30:41.200000+00:00",225.9,1.2,""
"Passive","2023-12-08T20:30:52.500000+00:00","Behavior Group 1","2023-12-08T20:30:41.200000+00:00",225.9,11.3,""
"Isolation","2023-12-08T20:30:52.600000+00:00","Behavior Group 2","2023-12-08T20:30:42.400000+00:00",227.1,10.2,""
"Stop Groom","2023-12-08T20:30:52.600000+00:00","Behavior Group 3","2023-12-08T20:30:41.200000+00:00",225.9,11.4,""
"Yawn","2023-12-08T20:31:20.500000+00:00","","2023-12-08T20:31:20.500000+00:00",265.2,0.0,""
"Receive Groom","2023-12-08T20:31:29.400000+00:00","Behavior Group 3","2023-12-08T20:30:52.600000+00:00",237.3,36.8,""
"Social Contact","2023-12-08T20:31:29.400000+00:00","Behavior Group 2","2023-12-08T20:30:52.600000+00:00",237.3,36.8,""
"Stop Group 1","2023-12-08T20:31:29.400000+00:00","Behavior Group 1","2023-12-08T20:30:52.500000+00:00",237.2,36.9,""
"Passive","2023-12-08T20:31:35.600000+00:00","Behavior Group 1","2023-12-08T20:31:29.400000+00:00",274.1,6.2,""
"Proximity","2023-12-08T20:31:36.800000+00:00","Behavior Group 2","2023-12-08T20:31:29.400000+00:00",274.1,7.4,""
"Self Directed","2023-12-08T20:31:40+00:00","Behavior Group 1","2023-12-08T20:31:35.600000+00:00",280.3,4.4,""
"Passive","2023-12-08T20:31:48.900000+00:00","Behavior Group 1","2023-12-08T20:31:40+00:00",284.7,8.9,""
"Stop Groom","2023-12-08T20:31:49+00:00","Behavior Group 3","2023-12-08T20:31:29.400000+00:00",274.1,19.6,""
"Isolation","2023-12-08T20:31:58.200000+00:00","Behavior Group 2","2023-12-08T20:31:36.800000+00:00",281.5,21.4,""
"Solicit Grooming","2023-12-08T20:31:58.200000+00:00","Behavior Group 3","2023-12-08T20:31:49+00:00",293.7,9.2,""
"Receive Groom","2023-12-08T20:32:03.300000+00:00","Behavior Group 3","2023-12-08T20:31:58.200000+00:00",302.9,5.1,""
"Social Contact","2023-12-08T20:32:03.300000+00:00","Behavior Group 2","2023-12-08T20:31:58.200000+00:00",302.9,5.1,""
"Stop Groom","2023-12-08T20:32:03.300000+00:00","Behavior Group 3","2023-12-08T20:32:03.300000+00:00",308.0,0.0,""
"Solicit Grooming","2023-12-08T20:32:09.600000+00:00","Behavior Group 3","2023-12-08T20:32:03.300000+00:00",308.0,6.3,""
"Stop Group 1","2023-12-08T20:32:09.600000+00:00","Behavior Group 1","2023-12-08T20:31:48.900000+00:00",293.6,20.7,""
