"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2023-12-20T21:34:47.070000+00:00","Behavior Group 2","2023-12-20T21:34:44+00:00",0.0,3.07,""
"Passive","2023-12-20T21:35:20+00:00","Behavior Group 1","2023-12-20T21:34:44+00:00",0.0,36.0,""
"Proximity","2023-12-20T21:35:20.100000+00:00","Behavior Group 2","2023-12-20T21:34:47.070000+00:00",3.07,33.03,""
"Receive Groom","2023-12-20T21:35:38.800000+00:00","Behavior Group 3","2023-12-20T21:35:20.100000+00:00",36.1,18.7,""
"Social Contact","2023-12-20T21:35:38.800000+00:00","Behavior Group 2","2023-12-20T21:35:20.100000+00:00",36.1,18.7,""
"Stop Groom","2023-12-20T21:35:38.800000+00:00","Behavior Group 3","2023-12-20T21:35:38.800000+00:00",54.8,0.0,""
"Solicit Grooming","2023-12-20T21:35:42.200000+00:00","Behavior Group 3","2023-12-20T21:35:38.800000+00:00",54.8,3.4,""
"Stop Group 1","2023-12-20T21:35:42.200000+00:00","Behavior Group 1","2023-12-20T21:35:20+00:00",36.0,22.2,""
"Passive","2023-12-20T21:35:42.500000+00:00","Behavior Group 1","2023-12-20T21:35:42.200000+00:00",58.2,0.3,""
"Proximity","2023-12-20T21:35:42.600000+00:00","Behavior Group 2","2023-12-20T21:35:38.800000+00:00",54.8,3.8,""
"Stop Groom","2023-12-20T21:35:42.600000+00:00","Behavior Group 3","2023-12-20T21:35:42.200000+00:00",58.2,0.4,""
"Receive Groom","2023-12-20T21:35:54.100000+00:00","Behavior Group 3","2023-12-20T21:35:42.600000+00:00",58.6,11.5,""
"Social Contact","2023-12-20T21:35:54.100000+00:00","Behavior Group 2","2023-12-20T21:35:42.600000+00:00",58.6,11.5,""
"Stop Group 1","2023-12-20T21:35:54.100000+00:00","Behavior Group 1","2023-12-20T21:35:42.500000+00:00",58.5,11.6,""
"Passive","2023-12-20T21:35:55.400000+00:00","Behavior Group 1","2023-12-20T21:35:54.100000+00:00",70.1,1.3,""
"Stop Groom","2023-12-20T21:35:55.500000+00:00","Behavior Group 3","2023-12-20T21:35:54.100000+00:00",70.1,1.4,""
"Solicit Grooming","2023-12-20T21:35:58.400000+00:00","Behavior Group 3","2023-12-20T21:35:55.500000+00:00",71.5,2.9,""
"Stop Group 1","2023-12-20T21:35:58.400000+00:00","Behavior Group 1","2023-12-20T21:35:55.400000+00:00",71.4,3.0,""
"Proximity","2023-12-20T21:36:03+00:00","Behavior Group 2","2023-12-20T21:35:54.100000+00:00",70.1,8.9,""
"Yawn","2023-12-20T21:36:08.100000+00:00","","2023-12-20T21:36:08.100000+00:00",84.1,0.0,""
"Isolation","2023-12-20T21:36:13.100000+00:00","Behavior Group 2","2023-12-20T21:36:03+00:00",79.0,10.1,""
"Passive","2023-12-20T21:36:13.600000+00:00","Behavior Group 1","2023-12-20T21:35:58.400000+00:00",74.4,15.2,""
"Self Directed","2023-12-20T21:36:18.900000+00:00","Behavior Group 1","2023-12-20T21:36:13.600000+00:00",89.6,5.3,""
"Passive","2023-12-20T21:36:27.400000+00:00","Behavior Group 1","2023-12-20T21:36:18.900000+00:00",94.9,8.5,""
"Locomotion","2023-12-20T21:36:32.500000+00:00","Behavior Group 1","2023-12-20T21:36:27.400000+00:00",103.4,5.1,""
"Passive","2023-12-20T21:36:41.200000+00:00","Behavior Group 1","2023-12-20T21:36:32.500000+00:00",108.5,8.7,""
"Locomotion","2023-12-20T21:36:44.400000+00:00","Behavior Group 1","2023-12-20T21:36:41.200000+00:00",117.2,3.2,""
"Passive","2023-12-20T21:36:51.900000+00:00","Behavior Group 1","2023-12-20T21:36:44.400000+00:00",120.4,7.5,""
"Self Directed","2023-12-20T21:36:57.300000+00:00","Behavior Group 1","2023-12-20T21:36:51.900000+00:00",127.9,5.4,""
"Passive","2023-12-20T21:36:59.100000+00:00","Behavior Group 1","2023-12-20T21:36:57.300000+00:00",133.3,1.8,""
"Proximity","2023-12-20T21:36:59.200000+00:00","Behavior Group 2","2023-12-20T21:36:13.100000+00:00",89.1,46.1,""
"Stop Groom","2023-12-20T21:36:59.200000+00:00","Behavior Group 3","2023-12-20T21:35:58.400000+00:00",74.4,60.8,""
"Receive Groom","2023-12-20T21:37:04.600000+00:00","Behavior Group 3","2023-12-20T21:36:59.200000+00:00",135.2,5.4,""
"Stop Group 1","2023-12-20T21:37:04.600000+00:00","Behavior Group 1","2023-12-20T21:36:59.100000+00:00",135.1,5.5,""
"Passive","2023-12-20T21:37:12.900000+00:00","Behavior Group 1","2023-12-20T21:37:04.600000+00:00",140.6,8.3,""
"Stop Groom","2023-12-20T21:37:13+00:00","Behavior Group 3","2023-12-20T21:37:04.600000+00:00",140.6,8.4,""
"Stop Group 1","2023-12-20T21:37:19.600000+00:00","Behavior Group 1","2023-12-20T21:37:12.900000+00:00",148.9,6.7,""
"Receive Groom","2023-12-20T21:37:19.700000+00:00","Behavior Group 3","2023-12-20T21:37:13+00:00",149.0,6.7,""
"Social Contact","2023-12-20T21:37:19.700000+00:00","Behavior Group 2","2023-12-20T21:36:59.200000+00:00",135.2,20.5,""
"Proximity","2023-12-20T21:37:27.100000+00:00","Behavior Group 2","2023-12-20T21:37:19.700000+00:00",155.7,7.4,""
"Passive","2023-12-20T21:37:29.900000+00:00","Behavior Group 1","2023-12-20T21:37:19.600000+00:00",155.6,10.3,""
"Self Directed","2023-12-20T21:37:35.600000+00:00","Behavior Group 1","2023-12-20T21:37:29.900000+00:00",165.9,5.7,""
"Passive","2023-12-20T21:37:47.500000+00:00","Behavior Group 1","2023-12-20T21:37:35.600000+00:00",171.6,11.9,""
"Stop Groom","2023-12-20T21:37:48.800000+00:00","Behavior Group 3","2023-12-20T21:37:19.700000+00:00",155.7,29.1,""
"Self Directed","2023-12-20T21:37:49.500000+00:00","Behavior Group 1","2023-12-20T21:37:47.500000+00:00",183.5,2.0,""
"Receive Groom","2023-12-20T21:37:53.300000+00:00","Behavior Group 3","2023-12-20T21:37:48.800000+00:00",184.8,4.5,""
"Social Contact","2023-12-20T21:37:53.300000+00:00","Behavior Group 2","2023-12-20T21:37:27.100000+00:00",163.1,26.2,""
"Stop Group 1","2023-12-20T21:37:53.300000+00:00","Behavior Group 1","2023-12-20T21:37:49.500000+00:00",185.5,3.8,""
"Passive","2023-12-20T21:38:17.200000+00:00","Behavior Group 1","2023-12-20T21:37:53.300000+00:00",189.3,23.9,""
"Proximity","2023-12-20T21:38:24.400000+00:00","Behavior Group 2","2023-12-20T21:37:53.300000+00:00",189.3,31.1,""
"Self Directed","2023-12-20T21:38:24.600000+00:00","Behavior Group 1","2023-12-20T21:38:17.200000+00:00",213.2,7.4,""
"Passive","2023-12-20T21:38:27.400000+00:00","Behavior Group 1","2023-12-20T21:38:24.600000+00:00",220.6,2.8,""
"Stop Groom","2023-12-20T21:38:27.500000+00:00","Behavior Group 3","2023-12-20T21:37:53.300000+00:00",189.3,34.2,""
"Stop Group 1","2023-12-20T21:38:40.300000+00:00","Behavior Group 1","2023-12-20T21:38:27.400000+00:00",223.4,12.9,""
"Solicit Grooming","2023-12-20T21:38:40.399000+00:00","Behavior Group 3","2023-12-20T21:38:27.500000+00:00",223.5,12.899,""
"Social Contact","2023-12-20T21:38:40.399000+00:00","Behavior Group 2","2023-12-20T21:38:24.400000+00:00",220.4,15.999,""
"Passive","2023-12-20T21:38:41.200000+00:00","Behavior Group 1","2023-12-20T21:38:40.300000+00:00",236.3,0.9,""
"Stop Groom","2023-12-20T21:38:41.300000+00:00","Behavior Group 3","2023-12-20T21:38:40.399000+00:00",236.399,0.901,""
"Stop Group 1","2023-12-20T21:38:46.200000+00:00","Behavior Group 1","2023-12-20T21:38:41.200000+00:00",237.2,5.0,""
"Solicit Grooming","2023-12-20T21:38:46.300000+00:00","Behavior Group 3","2023-12-20T21:38:41.300000+00:00",237.3,5.0,""
"Passive","2023-12-20T21:39:08.800000+00:00","Behavior Group 1","2023-12-20T21:38:46.200000+00:00",242.2,22.6,""
