"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2024-01-02T20:35:31.900000+00:00","Behavior Group 2","2024-01-02T20:35:31.900000+00:00",0.0,0.0,""
"Passive","2024-01-02T20:35:39+00:00","Behavior Group 1","2024-01-02T20:35:31.900000+00:00",0.0,7.1,""
"Self Directed","2024-01-02T20:35:45.500000+00:00","Behavior Group 1","2024-01-02T20:35:39+00:00",7.1,6.5,""
"Passive","2024-01-02T20:35:47.300000+00:00","Behavior Group 1","2024-01-02T20:35:45.500000+00:00",13.6,1.8,""
"Self Directed","2024-01-02T20:36:08.199000+00:00","Behavior Group 1","2024-01-02T20:35:47.300000+00:00",15.4,20.899,""
"Proximity","2024-01-02T20:36:15.400000+00:00","Behavior Group 2","2024-01-02T20:35:31.900000+00:00",0.0,43.5,""
"Passive","2024-01-02T20:36:15.400000+00:00","Behavior Group 1","2024-01-02T20:36:08.199000+00:00",36.299,7.201,""
"Stop Group 1","2024-01-02T20:36:24+00:00","Behavior Group 1","2024-01-02T20:36:15.400000+00:00",43.5,8.6,""
"Receive Groom","2024-01-02T20:36:24+00:00","Behavior Group 3","2024-01-02T20:36:15.400000+00:00",43.5,8.6,""
"Social Contact","2024-01-02T20:36:24.100000+00:00","Behavior Group 2","2024-01-02T20:36:15.400000+00:00",43.5,8.7,""
"Passive","2024-01-02T20:36:33.199000+00:00","Behavior Group 1","2024-01-02T20:36:24+00:00",52.1,9.199,""
"Self Directed","2024-01-02T20:36:36.300000+00:00","Behavior Group 1","2024-01-02T20:36:33.199000+00:00",61.299,3.101,""
"Passive","2024-01-02T20:36:36.699000+00:00","Behavior Group 1","2024-01-02T20:36:36.300000+00:00",64.4,0.399,""
"Locomotion","2024-01-02T20:36:39.100000+00:00","Behavior Group 1","2024-01-02T20:36:36.699000+00:00",64.799,2.401,""
"Proximity","2024-01-02T20:36:39.100000+00:00","Behavior Group 2","2024-01-02T20:36:24.100000+00:00",52.2,15.0,""
"Withdraw","2024-01-02T20:36:39.100000+00:00","","2024-01-02T20:36:39.100000+00:00",67.2,0.0,""
"Manipulation","2024-01-02T20:36:46+00:00","Behavior Group 1","2024-01-02T20:36:39.100000+00:00",67.2,6.9,""
"Isolation","2024-01-02T20:36:56.100000+00:00","Behavior Group 2","2024-01-02T20:36:39.100000+00:00",67.2,17.0,""
"Passive","2024-01-02T20:36:56.300000+00:00","Behavior Group 1","2024-01-02T20:36:46+00:00",74.1,10.3,""
"Self Directed","2024-01-02T20:36:58.800000+00:00","Behavior Group 1","2024-01-02T20:36:56.300000+00:00",84.4,2.5,""
"Passive","2024-01-02T20:37:06.400000+00:00","Behavior Group 1","2024-01-02T20:36:58.800000+00:00",86.9,7.6,""
"Self Directed","2024-01-02T20:37:08.900000+00:00","Behavior Group 1","2024-01-02T20:37:06.400000+00:00",94.5,2.5,""
"Passive","2024-01-02T20:37:14.600000+00:00","Behavior Group 1","2024-01-02T20:37:08.900000+00:00",97.0,5.7,""
"Self Directed","2024-01-02T20:37:30.100000+00:00","Behavior Group 1","2024-01-02T20:37:14.600000+00:00",102.7,15.5,""
"Passive","2024-01-02T20:37:31.200000+00:00","Behavior Group 1","2024-01-02T20:37:30.100000+00:00",118.2,1.1,""
"Self Directed","2024-01-02T20:37:34.700000+00:00","Behavior Group 1","2024-01-02T20:37:31.200000+00:00",119.3,3.5,""
"Passive","2024-01-02T20:37:38.900000+00:00","Behavior Group 1","2024-01-02T20:37:34.700000+00:00",122.8,4.2,""
"Stop Groom","2024-01-02T20:37:39+00:00","Behavior Group 3","2024-01-02T20:36:24+00:00",52.1,75.0,""
"Yawn","2024-01-02T20:37:41.400000+00:00","","2024-01-02T20:37:41.400000+00:00",129.5,0.0,""
"Solicit Grooming","2024-01-02T20:37:55.200000+00:00","Behavior Group 3","2024-01-02T20:37:39+00:00",127.1,16.2,""
"Stop Group 1","2024-01-02T20:37:55.200000+00:00","Behavior Group 1","2024-01-02T20:37:38.900000+00:00",127.0,16.3,""
"Passive","2024-01-02T20:37:57.900000+00:00","Behavior Group 1","2024-01-02T20:37:55.200000+00:00",143.3,2.7,""
"Stop Groom","2024-01-02T20:37:58+00:00","Behavior Group 3","2024-01-02T20:37:55.200000+00:00",143.3,2.8,""
"Solicit Grooming","2024-01-02T20:38:00.200000+00:00","Behavior Group 3","2024-01-02T20:37:58+00:00",146.1,2.2,""
"Stop Group 1","2024-01-02T20:38:00.200000+00:00","Behavior Group 1","2024-01-02T20:37:57.900000+00:00",146.0,2.3,""
"Passive","2024-01-02T20:38:01+00:00","Behavior Group 1","2024-01-02T20:38:00.200000+00:00",148.3,0.8,""
"Self Directed","2024-01-02T20:38:05.100000+00:00","Behavior Group 1","2024-01-02T20:38:01+00:00",149.1,4.1,""
"Proximity","2024-01-02T20:38:06.600000+00:00","Behavior Group 2","2024-01-02T20:36:56.100000+00:00",84.2,70.5,""
"Social Contact","2024-01-02T20:38:12.300000+00:00","Behavior Group 2","2024-01-02T20:38:06.600000+00:00",154.7,5.7,""
"Passive","2024-01-02T20:38:17.400000+00:00","Behavior Group 1","2024-01-02T20:38:05.100000+00:00",153.2,12.3,""
"Self Directed","2024-01-02T20:38:20.700000+00:00","Behavior Group 1","2024-01-02T20:38:17.400000+00:00",165.5,3.3,""
"Passive","2024-01-02T20:38:21.100000+00:00","Behavior Group 1","2024-01-02T20:38:20.700000+00:00",168.8,0.4,""
"Stop Groom","2024-01-02T20:38:21.200000+00:00","Behavior Group 3","2024-01-02T20:38:00.200000+00:00",148.3,21.0,""
"Solicit Grooming","2024-01-02T20:38:22.500000+00:00","Behavior Group 3","2024-01-02T20:38:21.200000+00:00",169.3,1.3,""
"Stop Group 1","2024-01-02T20:38:22.500000+00:00","Behavior Group 1","2024-01-02T20:38:21.100000+00:00",169.2,1.4,""
"Passive","2024-01-02T20:38:25.200000+00:00","Behavior Group 1","2024-01-02T20:38:22.500000+00:00",170.6,2.7,""
"Locomotion","2024-01-02T20:38:29.800000+00:00","Behavior Group 1","2024-01-02T20:38:25.200000+00:00",173.3,4.6,""
"Stop Groom","2024-01-02T20:39:03+00:00","Behavior Group 3","2024-01-02T20:38:22.500000+00:00",170.6,40.5,""
"Passive","2024-01-02T20:39:03+00:00","Behavior Group 1","2024-01-02T20:38:29.800000+00:00",177.9,33.2,""
"Stop Group 1","2024-01-02T20:39:10.200000+00:00","Behavior Group 1","2024-01-02T20:39:03+00:00",211.1,7.2,""
"Solicit Grooming","2024-01-02T20:39:10.300000+00:00","Behavior Group 3","2024-01-02T20:39:03+00:00",211.1,7.3,""
"Proximity","2024-01-02T20:39:11.100000+00:00","Behavior Group 2","2024-01-02T20:38:12.300000+00:00",160.4,58.8,""
"Passive","2024-01-02T20:39:29.899000+00:00","Behavior Group 1","2024-01-02T20:39:10.200000+00:00",218.3,19.699,""
"Self Directed","2024-01-02T20:39:35.500000+00:00","Behavior Group 1","2024-01-02T20:39:29.899000+00:00",237.999,5.601,""
"Passive","2024-01-02T20:39:36.700000+00:00","Behavior Group 1","2024-01-02T20:39:35.500000+00:00",243.6,1.2,""
"Isolation","2024-01-02T20:39:39.500000+00:00","Behavior Group 2","2024-01-02T20:39:11.100000+00:00",219.2,28.4,""
"Self Directed","2024-01-02T20:40:17.400000+00:00","Behavior Group 1","2024-01-02T20:39:36.700000+00:00",244.8,40.7,""
"Passive","2024-01-02T20:40:19.400000+00:00","Behavior Group 1","2024-01-02T20:40:17.400000+00:00",285.5,2.0,""
"Proximity","2024-01-02T20:40:21.799000+00:00","Behavior Group 2","2024-01-02T20:39:39.500000+00:00",247.6,42.299,""
"Self Directed","2024-01-02T20:40:25.299000+00:00","Behavior Group 1","2024-01-02T20:40:19.400000+00:00",287.5,5.899,""
"Stop Groom","2024-01-02T20:40:29.400000+00:00","Behavior Group 3","2024-01-02T20:39:10.300000+00:00",218.4,79.1,""
"Passive","2024-01-02T20:40:29.400000+00:00","Behavior Group 1","2024-01-02T20:40:25.299000+00:00",293.399,4.101,""
"Stop Group 1","2024-01-02T20:40:57.599000+00:00","Behavior Group 1","2024-01-02T20:40:29.400000+00:00",297.5,28.199,""
"Solicit Grooming","2024-01-02T20:40:57.700000+00:00","Behavior Group 3","2024-01-02T20:40:29.400000+00:00",297.5,28.3,""
"Isolation","2024-01-02T20:41:00.799000+00:00","Behavior Group 2","2024-01-02T20:40:21.799000+00:00",289.899,39.0,""
"Passive","2024-01-02T20:41:03.200000+00:00","Behavior Group 1","2024-01-02T20:40:57.599000+00:00",325.699,5.601,""
"Locomotion","2024-01-02T20:41:09.599000+00:00","Behavior Group 1","2024-01-02T20:41:03.200000+00:00",331.3,6.399,""
"Proximity","2024-01-02T20:41:11.599000+00:00","Behavior Group 2","2024-01-02T20:41:00.799000+00:00",328.899,10.8,""
"Social Contact","2024-01-02T20:41:35.200000+00:00","Behavior Group 2","2024-01-02T20:41:11.599000+00:00",339.699,23.601,""
