"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Approach","2024-01-08T20:32:44.599000+00:00","","2024-01-08T20:32:44.599000+00:00",1.399,0.0,""
"Isolation","2024-01-08T20:32:44.599000+00:00","Behavior Group 2","2024-01-08T20:32:43.200000+00:00",0.0,1.399,""
"Locomotion","2024-01-08T20:32:54.600000+00:00","Behavior Group 1","2024-01-08T20:32:43.200000+00:00",0.0,11.4,""
"Proximity","2024-01-08T20:32:58.299000+00:00","Behavior Group 2","2024-01-08T20:32:44.599000+00:00",1.399,13.7,""
"Passive","2024-01-08T20:32:58.500000+00:00","Behavior Group 1","2024-01-08T20:32:54.600000+00:00",11.4,3.9,""
"Withdraw","2024-01-08T20:32:58.500000+00:00","","2024-01-08T20:32:58.500000+00:00",15.3,0.0,""
"Receive Groom","2024-01-08T20:32:58.900000+00:00","Behavior Group 3","2024-01-08T20:32:58.299000+00:00",15.099,0.601,""
"Social Contact","2024-01-08T20:32:58.900000+00:00","Behavior Group 2","2024-01-08T20:32:58.299000+00:00",15.099,0.601,""
"Proximity","2024-01-08T20:33:03+00:00","Behavior Group 2","2024-01-08T20:32:58.900000+00:00",15.7,4.1,""
"Locomotion","2024-01-08T20:33:03.200000+00:00","Behavior Group 1","2024-01-08T20:32:58.500000+00:00",15.3,4.7,""
"Approach","2024-01-08T20:33:03.200000+00:00","","2024-01-08T20:33:03.200000+00:00",20.0,0.0,""
"Passive","2024-01-08T20:33:05.300000+00:00","Behavior Group 1","2024-01-08T20:33:03.200000+00:00",20.0,2.1,""
"Social Contact","2024-01-08T20:33:06.800000+00:00","Behavior Group 2","2024-01-08T20:33:03+00:00",19.8,3.8,""
"Withdraw","2024-01-08T20:33:07+00:00","","2024-01-08T20:33:07+00:00",23.8,0.0,""
"Locomotion","2024-01-08T20:33:11.300000+00:00","Behavior Group 1","2024-01-08T20:33:05.300000+00:00",22.1,6.0,""
"Passive","2024-01-08T20:33:13+00:00","Behavior Group 1","2024-01-08T20:33:11.300000+00:00",28.1,1.7,""
"Proximity","2024-01-08T20:33:15.300000+00:00","Behavior Group 2","2024-01-08T20:33:06.800000+00:00",23.6,8.5,""
"Withdraw","2024-01-08T20:33:15.300000+00:00","","2024-01-08T20:33:15.300000+00:00",32.1,0.0,""
"Locomotion","2024-01-08T20:33:15.400000+00:00","Behavior Group 1","2024-01-08T20:33:13+00:00",29.8,2.4,""
"Passive","2024-01-08T20:33:17.500000+00:00","Behavior Group 1","2024-01-08T20:33:15.400000+00:00",32.2,2.1,""
"Isolation","2024-01-08T20:33:22.700000+00:00","Behavior Group 2","2024-01-08T20:33:15.300000+00:00",32.1,7.4,""
"Approach","2024-01-08T20:33:22.700000+00:00","","2024-01-08T20:33:22.700000+00:00",39.5,0.0,""
"Locomotion","2024-01-08T20:33:27.200000+00:00","Behavior Group 1","2024-01-08T20:33:17.500000+00:00",34.3,9.7,""
"Proximity","2024-01-08T20:33:27.200000+00:00","Behavior Group 2","2024-01-08T20:33:22.700000+00:00",39.5,4.5,""
"Withdraw","2024-01-08T20:33:27.200000+00:00","","2024-01-08T20:33:27.200000+00:00",44.0,0.0,""
"Passive","2024-01-08T20:34:01.400000+00:00","Behavior Group 1","2024-01-08T20:33:27.200000+00:00",44.0,34.2,""
"Stop Groom","2024-01-08T20:34:01.500000+00:00","Behavior Group 3","2024-01-08T20:32:58.900000+00:00",15.7,62.6,""
"Stop Group 1","2024-01-08T20:34:05.900000+00:00","Behavior Group 1","2024-01-08T20:34:01.400000+00:00",78.2,4.5,""
"Solicit Grooming","2024-01-08T20:34:05.900000+00:00","Behavior Group 3","2024-01-08T20:34:01.500000+00:00",78.3,4.4,""
"Stop Groom","2024-01-08T20:34:38.900000+00:00","Behavior Group 3","2024-01-08T20:34:05.900000+00:00",82.7,33.0,""
"Passive","2024-01-08T20:34:38.900000+00:00","Behavior Group 1","2024-01-08T20:34:05.900000+00:00",82.7,33.0,""
