"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2023-11-21T19:17:05.700000+00:00","Behavior Group 2","2023-11-21T19:17:05.700000+00:00",0.0,0.0,""
"Passive","2023-11-21T19:17:08.700000+00:00","Behavior Group 1","2023-11-21T19:17:05.700000+00:00",0.0,3.0,""
"Self Directed","2023-11-21T19:17:12.400000+00:00","Behavior Group 1","2023-11-21T19:17:08.700000+00:00",3.0,3.7,""
"Locomotion","2023-11-21T19:17:13.900000+00:00","Behavior Group 1","2023-11-21T19:17:12.400000+00:00",6.7,1.5,""
"Social Contact","2023-11-21T19:17:21.400000+00:00","Behavior Group 2","2023-11-21T19:17:05.700000+00:00",0.0,15.7,""
"Passive","2023-11-21T19:17:24.300000+00:00","Behavior Group 1","2023-11-21T19:17:13.900000+00:00",8.2,10.4,""
"Self Directed","2023-11-21T19:17:27.099000+00:00","Behavior Group 1","2023-11-21T19:17:24.300000+00:00",18.6,2.799,""
"Passive","2023-11-21T19:17:34.500000+00:00","Behavior Group 1","2023-11-21T19:17:27.099000+00:00",21.399,7.401,""
"Self Directed","2023-11-21T19:17:41.900000+00:00","Behavior Group 1","2023-11-21T19:17:34.500000+00:00",28.8,7.4,""
"Locomotion","2023-11-21T19:17:43.900000+00:00","Behavior Group 1","2023-11-21T19:17:41.900000+00:00",36.2,2.0,""
"Self Directed","2023-11-21T19:17:51.600000+00:00","Behavior Group 1","2023-11-21T19:17:43.900000+00:00",38.2,7.7,""
"Approach","2023-11-21T19:17:51.600000+00:00","","2023-11-21T19:17:51.600000+00:00",45.9,0.0,""
"Proximity","2023-11-21T19:17:53.900000+00:00","Behavior Group 2","2023-11-21T19:17:21.400000+00:00",15.7,32.5,""
"Locomotion","2023-11-21T19:17:54.700000+00:00","Behavior Group 1","2023-11-21T19:17:51.600000+00:00",45.9,3.1,""
"Passive","2023-11-21T19:18:00.900000+00:00","Behavior Group 1","2023-11-21T19:17:54.700000+00:00",49.0,6.2,""
"Social Contact","2023-11-21T19:18:09.100000+00:00","Behavior Group 2","2023-11-21T19:17:53.900000+00:00",48.2,15.2,""
"Self Directed","2023-11-21T19:18:09.700000+00:00","Behavior Group 1","2023-11-21T19:18:00.900000+00:00",55.2,8.8,""
"Manipulation","2023-11-21T19:18:13.900000+00:00","Behavior Group 1","2023-11-21T19:18:09.700000+00:00",64.0,4.2,""
"Passive","2023-11-21T19:18:19.700000+00:00","Behavior Group 1","2023-11-21T19:18:13.900000+00:00",68.2,5.8,""
"Self Directed","2023-11-21T19:18:29.200000+00:00","Behavior Group 1","2023-11-21T19:18:19.700000+00:00",74.0,9.5,""
"Passive","2023-11-21T19:18:37.200000+00:00","Behavior Group 1","2023-11-21T19:18:29.200000+00:00",83.5,8.0,""
"Proximity","2023-11-21T19:18:43.800000+00:00","Behavior Group 2","2023-11-21T19:18:09.100000+00:00",63.4,34.7,""
"Self Directed","2023-11-21T19:18:48.200000+00:00","Behavior Group 1","2023-11-21T19:18:37.200000+00:00",91.5,11.0,""
"Social Contact","2023-11-21T19:18:49+00:00","Behavior Group 2","2023-11-21T19:18:43.800000+00:00",98.1,5.2,""
"Passive","2023-11-21T19:18:51+00:00","Behavior Group 1","2023-11-21T19:18:48.200000+00:00",102.5,2.8,""
"Self Directed","2023-11-21T19:18:59.100000+00:00","Behavior Group 1","2023-11-21T19:18:51+00:00",105.3,8.1,""
"Passive","2023-11-21T19:19:04.900000+00:00","Behavior Group 1","2023-11-21T19:18:59.100000+00:00",113.4,5.8,""
"No Response","2023-11-21T19:19:09.400000+00:00","","2023-11-21T19:19:09.400000+00:00",123.7,0.0,""
"Self Directed","2023-11-21T19:19:22.399000+00:00","Behavior Group 1","2023-11-21T19:19:04.900000+00:00",119.2,17.499,""
