"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2023-11-28T21:10:28.400000+00:00","Behavior Group 2","2023-11-28T21:10:28.400000+00:00",0.0,0.0,""
"Passive","2023-11-28T21:10:31.500000+00:00","Behavior Group 1","2023-11-28T21:10:28.400000+00:00",0.0,3.1,""
"Proximity","2023-11-28T21:10:32.799000+00:00","Behavior Group 2","2023-11-28T21:10:28.400000+00:00",0.0,4.399,""
"Withdraw","2023-11-28T21:10:32.799000+00:00","","2023-11-28T21:10:32.799000+00:00",4.399,0.0,""
"Locomotion","2023-11-28T21:10:33.299000+00:00","Behavior Group 1","2023-11-28T21:10:31.500000+00:00",3.1,1.799,""
"Passive","2023-11-28T21:10:43.500000+00:00","Behavior Group 1","2023-11-28T21:10:33.299000+00:00",4.899,10.201,""
"Approach","2023-11-28T21:10:45.300000+00:00","","2023-11-28T21:10:45.300000+00:00",16.9,0.0,""
"Isolation","2023-11-28T21:10:45.300000+00:00","Behavior Group 2","2023-11-28T21:10:32.799000+00:00",4.399,12.501,""
"Locomotion","2023-11-28T21:10:45.599000+00:00","Behavior Group 1","2023-11-28T21:10:43.500000+00:00",15.1,2.099,""
"Passive","2023-11-28T21:11:02.600000+00:00","Behavior Group 1","2023-11-28T21:10:45.599000+00:00",17.199,17.001,""
"Proximity","2023-11-28T21:11:04.900000+00:00","Behavior Group 2","2023-11-28T21:10:45.300000+00:00",16.9,19.6,""
"Locomotion","2023-11-28T21:11:04.900000+00:00","Behavior Group 1","2023-11-28T21:11:02.600000+00:00",34.2,2.3,""
"Passive","2023-11-28T21:11:06.100000+00:00","Behavior Group 1","2023-11-28T21:11:04.900000+00:00",36.5,1.2,""
"Manipulation","2023-11-28T21:11:13.300000+00:00","Behavior Group 1","2023-11-28T21:11:06.100000+00:00",37.7,7.2,""
"Passive","2023-11-28T21:11:16.800000+00:00","Behavior Group 1","2023-11-28T21:11:13.300000+00:00",44.9,3.5,""
"Self Directed","2023-11-28T21:11:18.900000+00:00","Behavior Group 1","2023-11-28T21:11:16.800000+00:00",48.4,2.1,""
"Social Contact","2023-11-28T21:11:23+00:00","Behavior Group 2","2023-11-28T21:11:04.900000+00:00",36.5,18.1,""
"Manipulation","2023-11-28T21:11:23.100000+00:00","Behavior Group 1","2023-11-28T21:11:18.900000+00:00",50.5,4.2,""
"Withdraw","2023-11-28T21:11:24.699000+00:00","","2023-11-28T21:11:24.699000+00:00",56.299,0.0,""
"Proximity","2023-11-28T21:11:24.699000+00:00","Behavior Group 2","2023-11-28T21:11:23+00:00",54.6,1.699,""
"Locomotion","2023-11-28T21:11:25+00:00","Behavior Group 1","2023-11-28T21:11:23.100000+00:00",54.7,1.9,""
"Passive","2023-11-28T21:11:37.300000+00:00","Behavior Group 1","2023-11-28T21:11:25+00:00",56.6,12.3,""
"Isolation","2023-11-28T21:11:38.100000+00:00","Behavior Group 2","2023-11-28T21:11:24.699000+00:00",56.299,13.401,""
"Approach","2023-11-28T21:11:38.100000+00:00","","2023-11-28T21:11:38.100000+00:00",69.7,0.0,""
"Proximity","2023-11-28T21:11:40.300000+00:00","Behavior Group 2","2023-11-28T21:11:38.100000+00:00",69.7,2.2,""
"Social Contact","2023-11-28T21:11:41.600000+00:00","Behavior Group 2","2023-11-28T21:11:40.300000+00:00",71.9,1.3,""
"Withdraw","2023-11-28T21:11:41.600000+00:00","","2023-11-28T21:11:41.600000+00:00",73.2,0.0,""
"Locomotion","2023-11-28T21:11:42.300000+00:00","Behavior Group 1","2023-11-28T21:11:37.300000+00:00",68.9,5.0,""
