"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Passive","2024-10-04T19:18:33.200000+00:00","Behavior Group 1","2024-10-04T19:18:28.100000+00:00",0.0,5.1,""
"Locomotion","2024-10-04T19:18:35+00:00","Behavior Group 1","2024-10-04T19:18:33.200000+00:00",5.1,1.8,""
"Passive","2024-10-04T19:18:35.700000+00:00","Behavior Group 1","2024-10-04T19:18:35+00:00",6.9,0.7,""
"Self Directed","2024-10-04T19:18:41.700000+00:00","Behavior Group 1","2024-10-04T19:18:35.700000+00:00",7.6,6.0,""
"Locomotion","2024-10-04T19:18:43.500000+00:00","Behavior Group 1","2024-10-04T19:18:41.700000+00:00",13.6,1.8,""
"Passive","2024-10-04T19:18:43.500000+00:00","Behavior Group 1","2024-10-04T19:18:43.500000+00:00",15.4,0.0,""
"Self Directed","2024-10-04T19:18:46.400000+00:00","Behavior Group 1","2024-10-04T19:18:43.500000+00:00",15.4,2.9,""
"Passive","2024-10-04T19:18:53.800000+00:00","Behavior Group 1","2024-10-04T19:18:46.400000+00:00",18.3,7.4,""
"Locomotion","2024-10-04T19:18:56+00:00","Behavior Group 1","2024-10-04T19:18:53.800000+00:00",25.7,2.2,""
"Passive","2024-10-04T19:18:59.200000+00:00","Behavior Group 1","2024-10-04T19:18:56+00:00",27.9,3.2,""
"Manipulation","2024-10-04T19:19:00.500000+00:00","Behavior Group 1","2024-10-04T19:18:59.200000+00:00",31.1,1.3,""
"Passive","2024-10-04T19:19:05.900000+00:00","Behavior Group 1","2024-10-04T19:19:00.500000+00:00",32.4,5.4,""
"Self Directed","2024-10-04T19:19:09.200000+00:00","Behavior Group 1","2024-10-04T19:19:05.900000+00:00",37.8,3.3,""
"Passive","2024-10-04T19:19:13.800000+00:00","Behavior Group 1","2024-10-04T19:19:09.200000+00:00",41.1,4.6,""
"Self Directed","2024-10-04T19:19:15.099000+00:00","Behavior Group 1","2024-10-04T19:19:13.800000+00:00",45.7,1.299,""
"Passive","2024-10-04T19:19:17.700000+00:00","Behavior Group 1","2024-10-04T19:19:15.099000+00:00",46.999,2.601,""
"Self Directed","2024-10-04T19:19:18.600000+00:00","Behavior Group 1","2024-10-04T19:19:17.700000+00:00",49.6,0.9,""
"Passive","2024-10-04T19:19:19.900000+00:00","Behavior Group 1","2024-10-04T19:19:18.600000+00:00",50.5,1.3,""
"Manipulation","2024-10-04T19:19:25.700000+00:00","Behavior Group 1","2024-10-04T19:19:19.900000+00:00",51.8,5.8,""
"Passive","2024-10-04T19:19:37.900000+00:00","Behavior Group 1","2024-10-04T19:19:25.700000+00:00",57.6,12.2,""
"Locomotion","2024-10-04T19:19:40.400000+00:00","Behavior Group 1","2024-10-04T19:19:37.900000+00:00",69.8,2.5,""
"Proximity","2024-10-04T19:19:42.300000+00:00","Behavior Group 2","2024-10-04T19:18:28.100000+00:00",0.0,74.2,""
"Passive","2024-10-04T19:19:42.300000+00:00","Behavior Group 1","2024-10-04T19:19:40.400000+00:00",72.3,1.9,""
"Social Contact","2024-10-04T19:19:42.800000+00:00","Behavior Group 2","2024-10-04T19:19:42.300000+00:00",74.2,0.5,""
"Withdraw","2024-10-04T19:19:42.800000+00:00","","2024-10-04T19:19:42.800000+00:00",74.7,0.0,""
"Locomotion","2024-10-04T19:19:45.199000+00:00","Behavior Group 1","2024-10-04T19:19:42.300000+00:00",74.2,2.899,""
"Passive","2024-10-04T19:19:49.199000+00:00","Behavior Group 1","2024-10-04T19:19:45.199000+00:00",77.099,4.0,""
"Locomotion","2024-10-04T19:19:51.100000+00:00","Behavior Group 1","2024-10-04T19:19:49.199000+00:00",81.099,1.901,""
"Proximity","2024-10-04T19:19:53+00:00","Behavior Group 2","2024-10-04T19:19:42.800000+00:00",74.7,10.2,""
"Passive","2024-10-04T19:19:53.800000+00:00","Behavior Group 1","2024-10-04T19:19:51.100000+00:00",83.0,2.7,""
"Social Contact","2024-10-04T19:19:56+00:00","Behavior Group 2","2024-10-04T19:19:53+00:00",84.9,3.0,""
"Withdraw","2024-10-04T19:19:56+00:00","","2024-10-04T19:19:56+00:00",87.9,0.0,""
