"Event","End Time","Group","Start Time","Latency","Duration","Notes"
"Isolation","2024-11-04T20:10:10.800000+00:00","Behavior Group 2","2024-11-04T20:10:05+00:00",0.0,5.8,""
"Passive","2024-11-04T20:10:19.100000+00:00","Behavior Group 1","2024-11-04T20:10:05+00:00",0.0,14.1,""
"Self Directed","2024-11-04T20:10:20.400000+00:00","Behavior Group 1","2024-11-04T20:10:19.100000+00:00",14.1,1.3,""
"Proximity","2024-11-04T20:10:28.600000+00:00","Behavior Group 2","2024-11-04T20:10:10.800000+00:00",5.8,17.8,""
"Withdraw","2024-11-04T20:10:28.600000+00:00","","2024-11-04T20:10:28.600000+00:00",23.6,0.0,""
"Isolation","2024-11-04T20:10:34.100000+00:00","Behavior Group 2","2024-11-04T20:10:28.600000+00:00",23.6,5.5,""
"Passive","2024-11-04T20:10:34.500000+00:00","Behavior Group 1","2024-11-04T20:10:20.400000+00:00",15.4,14.1,""
"Locomotion","2024-11-04T20:10:36.400000+00:00","Behavior Group 1","2024-11-04T20:10:34.500000+00:00",29.5,1.9,""
"Passive","2024-11-04T20:11:01.300000+00:00","Behavior Group 1","2024-11-04T20:10:36.400000+00:00",31.4,24.9,""
"Self Directed","2024-11-04T20:11:03.800000+00:00","Behavior Group 1","2024-11-04T20:11:01.300000+00:00",56.3,2.5,""
"Passive","2024-11-04T20:11:04.600000+00:00","Behavior Group 1","2024-11-04T20:11:03.800000+00:00",58.8,0.8,""
"Self Directed","2024-11-04T20:11:06.500000+00:00","Behavior Group 1","2024-11-04T20:11:04.600000+00:00",59.6,1.9,""
"Proximity","2024-11-04T20:11:06.500000+00:00","Behavior Group 2","2024-11-04T20:10:34.100000+00:00",29.1,32.4,""
"Isolation","2024-11-04T20:11:08.500000+00:00","Behavior Group 2","2024-11-04T20:11:06.500000+00:00",61.5,2.0,""
"Proximity","2024-11-04T20:11:10.900000+00:00","Behavior Group 2","2024-11-04T20:11:08.500000+00:00",63.5,2.4,""
"Social Contact","2024-11-04T20:11:17.100000+00:00","Behavior Group 2","2024-11-04T20:11:10.900000+00:00",65.9,6.2,""
"Proximity","2024-11-04T20:11:41.500000+00:00","Behavior Group 2","2024-11-04T20:11:17.100000+00:00",72.1,24.4,""
"Passive","2024-11-04T20:11:51.600000+00:00","Behavior Group 1","2024-11-04T20:11:06.500000+00:00",61.5,45.1,""
"Isolation","2024-11-04T20:11:53.800000+00:00","Behavior Group 2","2024-11-04T20:11:41.500000+00:00",96.5,12.3,""
"Self Directed","2024-11-04T20:11:55+00:00","Behavior Group 1","2024-11-04T20:11:51.600000+00:00",106.6,3.4,""
"Passive","2024-11-04T20:11:59.400000+00:00","Behavior Group 1","2024-11-04T20:11:55+00:00",110.0,4.4,""
"Locomotion","2024-11-04T20:12:02.500000+00:00","Behavior Group 1","2024-11-04T20:11:59.400000+00:00",114.4,3.1,""
"Passive","2024-11-04T20:12:03.500000+00:00","Behavior Group 1","2024-11-04T20:12:02.500000+00:00",117.5,1.0,""
"Self Directed","2024-11-04T20:12:26+00:00","Behavior Group 1","2024-11-04T20:12:03.500000+00:00",118.5,22.5,""
"Locomotion","2024-11-04T20:12:28.100000+00:00","Behavior Group 1","2024-11-04T20:12:26+00:00",141.0,2.1,""
"Proximity","2024-11-04T20:12:30.800000+00:00","Behavior Group 2","2024-11-04T20:11:53.800000+00:00",108.8,37.0,""
"Social Contact","2024-11-04T20:12:32.400000+00:00","Behavior Group 2","2024-11-04T20:12:30.800000+00:00",145.8,1.6,""
"Passive","2024-11-04T20:12:32.600000+00:00","Behavior Group 1","2024-11-04T20:12:28.100000+00:00",143.1,4.5,""
"Self Directed","2024-11-04T20:12:33.700000+00:00","Behavior Group 1","2024-11-04T20:12:32.600000+00:00",147.6,1.1,""
"Passive","2024-11-04T20:12:38.700000+00:00","Behavior Group 1","2024-11-04T20:12:33.700000+00:00",148.7,5.0,""
"Self Directed","2024-11-04T20:12:41.600000+00:00","Behavior Group 1","2024-11-04T20:12:38.700000+00:00",153.7,2.9,""
"Passive","2024-11-04T20:12:48+00:00","Behavior Group 1","2024-11-04T20:12:41.600000+00:00",156.6,6.4,""
"Self Directed","2024-11-04T20:12:51+00:00","Behavior Group 1","2024-11-04T20:12:48+00:00",163.0,3.0,""
"Passive","2024-11-04T20:12:56.400000+00:00","Behavior Group 1","2024-11-04T20:12:51+00:00",166.0,5.4,""
"Self Directed","2024-11-04T20:13:03.900000+00:00","Behavior Group 1","2024-11-04T20:12:56.400000+00:00",171.4,7.5,""
"Passive","2024-11-04T20:13:07.500000+00:00","Behavior Group 1","2024-11-04T20:13:03.900000+00:00",178.9,3.6,""
"Self Directed","2024-11-04T20:13:10.700000+00:00","Behavior Group 1","2024-11-04T20:13:07.500000+00:00",182.5,3.2,""
"Passive","2024-11-04T20:13:16.800000+00:00","Behavior Group 1","2024-11-04T20:13:10.700000+00:00",185.7,6.1,""
"Self Directed","2024-11-04T20:13:20.400000+00:00","Behavior Group 1","2024-11-04T20:13:16.800000+00:00",191.8,3.6,""
"Passive","2024-11-04T20:13:30.700000+00:00","Behavior Group 1","2024-11-04T20:13:20.400000+00:00",195.4,10.3,""
"Self Directed","2024-11-04T20:13:40.400000+00:00","Behavior Group 1","2024-11-04T20:13:30.700000+00:00",205.7,9.7,""
"Passive","2024-11-04T20:13:43.100000+00:00","Behavior Group 1","2024-11-04T20:13:40.400000+00:00",215.4,2.7,""
"Self Directed","2024-11-04T20:13:55.600000+00:00","Behavior Group 1","2024-11-04T20:13:43.100000+00:00",218.1,12.5,""
"Passive","2024-11-04T20:13:57.800000+00:00","Behavior Group 1","2024-11-04T20:13:55.600000+00:00",230.6,2.2,""
"Locomotion","2024-11-04T20:14:00.300000+00:00","Behavior Group 1","2024-11-04T20:13:57.800000+00:00",232.8,2.5,""
"Passive","2024-11-04T20:14:05.600000+00:00","Behavior Group 1","2024-11-04T20:14:00.300000+00:00",235.3,5.3,""
"Locomotion","2024-11-04T20:14:08.899000+00:00","Behavior Group 1","2024-11-04T20:14:05.600000+00:00",240.6,3.299,""
"Passive","2024-11-04T20:14:17.500000+00:00","Behavior Group 1","2024-11-04T20:14:08.899000+00:00",243.899,8.601,""
"Self Directed","2024-11-04T20:14:18.100000+00:00","Behavior Group 1","2024-11-04T20:14:17.500000+00:00",252.5,0.6,""
"Passive","2024-11-04T20:14:21+00:00","Behavior Group 1","2024-11-04T20:14:18.100000+00:00",253.1,2.9,""
"Locomotion","2024-11-04T20:14:26+00:00","Behavior Group 1","2024-11-04T20:14:21+00:00",256.0,5.0,""
"Proximity","2024-11-04T20:14:33.400000+00:00","Behavior Group 2","2024-11-04T20:12:32.400000+00:00",147.4,121.0,""
"Self Directed","2024-11-04T20:14:34.600000+00:00","Behavior Group 1","2024-11-04T20:14:26+00:00",261.0,8.6,""
"Social Contact","2024-11-04T20:14:35.200000+00:00","Behavior Group 2","2024-11-04T20:14:33.400000+00:00",268.4,1.8,""
"Receive Groom","2024-11-04T20:14:35.200000+00:00","Behavior Group 3","2024-11-04T20:14:34.300000+00:00",269.3,0.9,""
"Withdraw","2024-11-04T20:14:35.200000+00:00","","2024-11-04T20:14:35.200000+00:00",270.2,0.0,""
"Locomotion","2024-11-04T20:14:43.100000+00:00","Behavior Group 1","2024-11-04T20:14:34.600000+00:00",269.6,8.5,""
"Self Directed","2024-11-04T20:14:52.600000+00:00","Behavior Group 1","2024-11-04T20:14:43.100000+00:00",278.1,9.5,""
"Passive","2024-11-04T20:14:53.200000+00:00","Behavior Group 1","2024-11-04T20:14:52.600000+00:00",287.6,0.6,""
"Manipulation","2024-11-04T20:14:54.900000+00:00","Behavior Group 1","2024-11-04T20:14:53.200000+00:00",288.2,1.7,""
