new_filename,animal,session,video_code,hemisphere,treatment,used_in,md5
Basquiat_S01_BAS2a_Left_SAL.csv,Basquiat,1,BAS2a,Left,Saline,ACCs,3d69bd34aaab3e30d92d44e05d3ee7e8
Basquiat_S06_BAS8A_Left_BMI.csv,Basquiat,6,BAS8A,Left,BMI,ACCs,564f606f7416b88e477eb91cdb62c98d
Basquiat_S09_BAS11a_Left_BMI.csv,Basquiat,9,BAS11a,Left,BMI,ACCs,0ad5ab83ff9efa5de6b2772d0f629d00
Basquiat_S11_BAS13a_Right_BMI.csv,Basquiat,11,BAS13a,Right,BMI,ACCg,b716ab109a1e577bf1f8a5f6c8238fbd
Basquiat_S12_BAS14a_Right_SAL.csv,Basquiat,12,BAS14a,Right,Saline,ACCg,0f285d775f34ed0907dee9ac84947e00
Basquiat_S13_BAS15a_Right_BMI.csv,Basquiat,13,BAS15a,Right,BMI,ACCg,b60619969d04de54008c57dd8af7ea71
Basquiat_S14_BAS19a_Right_SAL.csv,Basquiat,14,BAS19a,Right,Saline,ACCg,e5f79a458d8c1fd7698a73e107c231a1
Basquiat_S16_BAS21a_Right_SAL.csv,Basquiat,16,BAS21a,Right,Saline,ACCg,2b683a9f657ff0d47cb0dca4a8cd6d26
Basquiat_S17_BAS22a_Right_BMI.csv,Basquiat,17,BAS22a,Right,BMI,ACCg,868325fcba7eb3358b0515cfd530bcb3
Cobain_S01_Co_20A_Left_SAL.csv,Cobain,1,Co_20A,Left,Saline,ACCg,3c09bdeca0a71c864da2d20e3d04fdee
Cobain_S04_Co_17A_Left_SAL.csv,Cobain,4,Co_17A,Left,Saline,ACCg,bd5c099ef3a827401ec22d9e9d4ffe9c
Cobain_S06_Co_24A_Right_SAL.csv,Cobain,6,Co_24A,Right,Saline,ACCg,1e7cb8416b238594a88367d844bd8e3a
Cobain_S07_T5Co_21AT_Right_BMI.csv,Cobain,7,T5Co_21AT,Right,BMI,ACCg,dd261f874e04a5302cf46fda1c3f9996
Cobain_S08_T2Co_23A_Right_BMI.csv,Cobain,8,T2Co_23A,Right,BMI,ACCg,7c4cb194c8d6124105283e6656956bc8
Cobain_S09_Co_27A_Right_SAL.csv,Cobain,9,Co_27A,Right,Saline,ACCg,46e630f675267616f6943be57bf64182
Cobain_S10_Co_28A_Right_BMI.csv,Cobain,10,Co_28A,Right,BMI,ACCg,a88587e6c59a1361fde2da7baafa0e8b
